#heatmap
!legendTitle	Butyrate pathway
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	grey, blue
!colorgradientMarkLabel	0,1
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	Thl,Hdb,Cro,Bcd,But,Ptb,Buk
# -- heatmap --
!heatmap	colwidth=100
1232444.3	0,0,0,1,0,0,0
1232448.3	1,1,0,1,1,1,1
1232450.3	1,1,1,1,1,1,1
AF04-15	0,0,0,1,0,0,0
AF14-18	1,0,0,1,0,1,1
AF18-27	1,1,0,1,0,0,0
AF19-9LB	1,1,0,1,0,0,1
AF24-13	1,0,0,1,0,1,1
AF27-9	1,0,0,1,0,1,1
AF29-4	1,0,0,1,0,0,1
AF31-1	1,0,0,1,0,1,1
AF57-4ACA	0,0,0,1,0,0,1
AF66-15pH9A	0,0,0,1,0,0,0
AFF13-24A	1,1,0,1,0,0,0
AM07-19	1,1,0,1,0,1,1
AM09-31	1,0,0,1,0,0,1
AM22-11AC	0,0,0,1,0,0,1
AM25-9	1,1,0,1,0,0,1
AM27-28LB	1,0,0,1,0,1,1
AM32-2	0,0,0,1,0,0,1
AM35-14	1,1,0,1,0,1,1
AM40-2AC	1,0,0,1,0,0,1
AM51-4	0,0,0,1,0,0,1
AM55-16TS-r	0,0,0,1,0,0,1
AM60-12MH-1A	1,0,0,1,0,1,1
AM75-15pH9A	1,0,0,1,0,0,1
OF13-16	1,0,1,1,1,1,1
OM04-12AA	0,0,0,1,0,0,1
TF09-12AC	1,1,0,1,0,0,1
TF09-2AC	1,0,0,1,0,0,1
TF09-4AC	1,0,0,1,0,1,1
TM06-18	0,0,0,1,0,0,1
GCA_000156015	1,1,1,1,0,1,1
GCA_003175155	1,1,1,1,0,1,1
GCA_900111185	1,1,1,1,0,1,1
GCA_000420985	1,1,1,1,0,1,1
GCA_900129945	1,1,1,1,0,1,1
GCA_000424425	1,1,1,1,0,1,1
GCA_000424565	1,1,1,1,0,1,1
GCA_000420965	1,1,1,1,0,1,1
GCA_000424405	1,1,1,1,0,1,1
GCA_000423985	1,1,1,1,0,1,1
GCA_001858005	1,1,1,1,0,1,1
GCA_900101605	1,1,1,1,0,1,1
GCA_900143205	1,1,1,1,0,1,1
GCA_000424465	1,1,1,1,0,1,1
GCA_900115735	1,1,1,1,0,1,1
GCA_000145035	1,1,1,1,0,1,1
GCA_000621465	1,1,1,1,0,1,1
GCA_000622085	1,1,1,1,0,1,1
GCA_000686965	1,1,1,1,0,1,1
GCA_000686065	1,1,1,1,0,1,1
GCA_000424585	1,1,1,1,0,1,1
GCA_000424545	1,1,1,1,0,1,1
GCA_000420865	1,1,1,1,0,1,1
GCA_000423965	1,1,1,1,0,1,1
GCA_000424525	1,1,1,1,0,1,1
GCA_000421405	1,1,1,1,0,1,1
GCA_000420845	1,1,1,1,0,1,1
GCA_000423945	1,1,1,1,0,1,1
GCA_000424165	1,1,1,1,0,1,1
GCA_000424285	1,1,1,1,0,1,1
GCA_000424145	1,1,1,1,0,1,1
GCA_000424385	1,1,1,1,0,1,1
GCA_000424125	1,1,1,1,0,1,1
GCA_000424265	1,1,1,1,0,1,1
GCA_000423925	1,1,1,1,0,1,1
GCA_000420905	1,1,1,1,0,1,1
GCA_000424485	1,1,1,1,0,1,1
GCA_000703165	1,1,1,1,0,1,1
GCA_000420945	1,1,1,1,0,1,1
GCA_000420825	1,1,1,1,0,1,1
GCA_000424505	1,1,1,1,0,1,1
GCA_000621565	1,1,1,1,0,1,1
GCA_000621605	1,1,1,1,0,1,1
GCA_000702265	1,1,1,1,0,1,1
GCA_000701985	1,1,1,1,0,1,1
GCA_900112195	1,1,1,1,0,1,1
GCA_900102515	1,1,1,1,0,1,1
GCA_900104155	1,1,1,1,0,1,1
GCA_900103635	1,1,1,1,0,1,1
GCA_900116875	1,1,1,1,0,1,1
GCA_900108105	1,1,1,1,0,1,1
GCA_900109475	1,1,1,1,0,1,1
GCA_900116865	1,1,1,1,0,1,1
GCA_003625485	1,1,1,1,0,1,1
GCA_003625505	1,1,1,1,0,1,1
GCA_003625475	1,1,1,1,0,1,1
GCA_900110805	1,1,1,1,0,1,1
GCA_016586355	1,1,1,1,1,0,0
GCA_014131675	1,1,1,1,1,0,0
GCA_014467075	1,1,1,1,1,0,0
GCA_900624715	1,1,1,1,1,0,0
GCA_000185825	1,1,1,1,1,0,0
GCA_001404655	1,1,1,1,1,0,0
GCA_001405715	1,1,1,1,1,0,0
GCA_001404955	1,1,1,1,1,0,0
GCA_001404835	1,1,1,1,1,0,0
GCA_001405635	1,1,1,1,1,0,0
GCA_008416325	1,1,1,1,1,0,0
GCA_013303175	1,1,1,1,1,0,0
GCA_013302855	1,1,1,1,1,0,0
GCA_013302845	1,1,1,1,1,0,0
GCA_013302815	1,1,1,1,1,0,0
GCA_013302785	1,1,1,1,1,0,0
GCA_013302795	1,1,1,1,1,0,0
GCA_013302755	1,1,1,1,1,0,0
GCA_013302745	1,1,1,1,1,0,0
GCA_013302715	1,1,1,1,1,0,0
GCA_013302675	1,1,1,1,1,0,0
GCA_013302685	1,1,1,1,1,0,0
GCA_013302665	1,1,1,1,1,0,0
GCA_013302645	1,1,1,1,1,0,0
GCA_013302605	1,1,1,1,1,0,0
GCA_013302595	1,1,1,1,1,0,0
GCA_013302565	1,1,1,1,1,0,0
GCA_013303185	1,1,1,1,1,0,0
GCA_013302555	1,1,1,1,1,0,0
GCA_013304505	1,1,1,1,1,0,0
GCA_013304555	1,1,1,1,1,0,0
GCA_013302545	1,1,1,1,1,0,0
GCA_013303225	1,1,1,1,1,0,0
GCA_013302455	1,1,1,1,1,0,0
GCA_013302525	1,1,1,1,1,0,0
GCA_013302475	1,1,1,1,1,0,0
GCA_013302465	1,1,1,1,1,0,0
GCA_013302445	1,1,1,1,1,0,0
GCA_013302355	1,1,1,1,1,0,0
GCA_015554695	1,1,1,1,1,0,0
GCA_001998765	1,1,1,1,1,0,0
GCA_000332875	1,1,1,1,1,0,0
GCA_000876135	1,1,1,1,1,0,0
GCA_000210695	1,1,1,1,1,0,0
GCA_005280655	1,1,1,1,1,0,0
GCA_001940315	1,1,1,1,1,0,0
GCA_002270485	1,1,1,1,1,0,0
GCA_018223505	1,1,1,1,1,0,0
GCA_014290215	1,1,1,1,1,0,0
GCA_000185525	1,1,1,1,1,0,0
11861_6_64	1,1,1,1,1,0,0
13154_4_45	1,1,1,1,1,0,0
13670_3_12	1,1,1,1,1,0,0
15841_8_85	1,1,1,1,1,0,0
18048_1_42	1,1,1,1,1,0,0
8080_1_70	1,1,1,1,1,0,0
GCF_000154305	1,1,1,1,1,0,0
GCF_000154545	1,1,1,1,1,0,0
14207_6_11	1,1,1,1,1,0,0
14207_7_32	1,1,1,1,1,0,0
1232447.3	1,1,1,1,1,0,0
AF04-45	1,1,1,1,1,0,0
AF12-30	1,1,1,1,1,0,0
AM100_B11A	1,1,1,1,1,0,0
AM10-38	1,1,1,1,1,0,0
AM21-16	1,1,1,1,1,0,0
AM21-21	1,1,1,1,1,0,0
AM23-7LB	1,1,1,1,1,0,0
AM25-27	1,1,1,1,1,0,0
AM26-1LB	1,1,1,1,1,0,0
AM75-12pH10A	1,1,1,1,1,0,0
OF05-1	1,1,1,1,1,0,0
OF40-10pH9A	1,1,1,1,1,0,0
OM02-26	1,1,1,1,1,0,0
OM13-19BHA	1,1,1,1,1,0,0
TF10-8AT	1,1,1,1,1,0,0
GCA_002735305	1,1,1,1,1,0,1
GCA_015549075	1,1,1,1,1,0,0
GCA_015559645	1,1,1,1,1,0,0
GCA_015556245	1,1,1,1,1,0,0
GCA_015550045	1,1,1,1,1,0,0
GCA_015558055	1,1,1,1,1,0,0
GCA_015667215	1,1,1,1,1,0,0
GCA_015669935	1,1,1,1,1,0,0
GCA_001405615	1,1,1,1,1,0,0
GCA_009718405	1,1,1,1,1,0,0
GCA_009718425	1,1,1,1,1,0,0
GCA_001406815	1,1,1,1,1,0,0
GCA_005845255	1,1,1,1,1,0,0
GCA_015550775	1,1,1,1,1,0,0
GCA_015669665	1,1,1,1,1,0,0
GCA_015559035	1,1,1,1,1,0,0
GCA_015554585	1,1,1,1,1,0,0
GCA_015560015	1,1,1,1,1,0,0
GCA_015557515	1,1,1,1,1,0,0
GCA_015553565	1,1,1,1,1,0,0
GCA_015551295	1,1,1,1,1,0,0
GCA_005844305	1,1,1,1,1,0,0
GCA_009680365	1,1,1,1,1,0,0
GCA_009680205	1,1,1,1,1,0,0
GCA_009680195	1,1,1,1,1,0,0
GCA_009680175	1,1,1,1,1,0,0
GCA_009680395	1,1,1,1,1,0,0
GCA_009680355	1,1,1,1,1,0,0
GCA_009680335	1,1,1,1,1,0,0
GCA_009680315	1,1,1,1,1,0,0
GCA_009680275	1,1,1,1,1,0,0
GCA_009680285	1,1,1,1,1,0,0
GCA_009680245	1,1,1,1,1,0,0
GCA_009680235	1,1,1,1,1,0,0
GCA_013304035	1,1,1,1,1,0,0
GCA_013304025	1,1,1,1,1,0,0
GCA_013303995	1,1,1,1,1,0,0
GCA_013303965	1,1,1,1,1,0,0
GCA_013300775	1,1,1,1,1,0,0
GCA_013299805	1,1,1,1,1,0,0
GCA_013300655	1,1,1,1,1,0,0
GCA_013300675	1,1,1,1,1,0,0
GCA_013300625	1,1,1,1,1,0,0
GCA_013300555	1,1,1,1,1,0,0
GCA_013299675	1,1,1,1,1,0,0
GCA_013300575	1,1,1,1,1,0,0
GCA_013299655	1,1,1,1,1,0,0
GCA_013299645	1,1,1,1,1,0,0
GCA_013300505	1,1,1,1,1,0,0
GCA_013303905	1,1,1,1,1,0,0
GCA_013303875	1,1,1,1,1,0,0
GCA_013303885	1,1,1,1,1,0,0
GCA_013303865	1,1,1,1,1,0,0
GCA_013303945	1,1,1,1,1,0,0
GCA_013303785	1,1,1,1,1,0,0
GCA_013303775	1,1,1,1,1,0,0
GCA_013303845	1,1,1,1,1,0,0
GCA_001404855	1,1,1,1,1,0,0
GCA_001405295	1,1,1,1,1,0,0
GCA_001406375	1,1,1,1,1,0,0
GCA_000020605	1,1,1,1,1,0,0
GCA_000209935	1,1,1,1,1,0,0
GCA_008122485	1,1,1,1,1,0,0
GCA_000209955	1,1,1,1,1,0,0
GCA_018784685	1,1,1,1,1,0,0
GCA_018784725	1,1,1,1,1,0,0
GCA_003122495	1,1,1,1,1,0,0
GCA_001406835	1,1,1,1,1,0,0
GCA_008123415	1,1,1,1,1,0,0
GCA_000701545	1,1,1,1,1,0,1
12718_7_53	1,1,1,1,1,0,0
18048_1_75	1,1,1,1,1,0,0
18048_2_75	1,1,1,1,1,0,0
20287_6_23	1,1,1,1,1,0,0
21673_4_84	1,1,1,1,1,0,0
20427_4_23	1,1,1,1,1,0,0
20427_4_25	1,1,1,1,1,0,0
AF06-19	1,1,1,1,1,0,0
AF12-8	1,1,1,1,1,0,0
AF17-27	1,1,1,1,1,0,0
AF18-16LB	1,1,1,1,1,0,0
AF18-18LB	1,1,1,1,1,0,0
AF19-3AC	1,1,1,1,1,0,0
AF19-4	1,1,1,1,1,0,0
AF24-17	1,1,1,1,1,0,0
AF24-9LB	1,1,1,1,1,0,0
AF25-15	1,1,1,1,1,0,0
AF36-2BH	1,1,1,1,1,0,0
AF38-24	1,1,1,1,1,0,0
AF39-14AC	1,1,1,1,1,0,0
AF67-03PH9	1,1,1,1,1,0,0
AF75-07pH9A	1,1,1,1,1,0,0
AM16-11	1,1,1,1,1,0,0
AM22-4	1,1,1,1,1,0,0
AM26-2LB	1,1,1,1,1,0,0
AM29-10	1,1,1,1,1,0,0
AM30-13AC	1,1,1,1,1,0,0
AM31-7AC	1,1,1,1,1,0,0
AM36-3AA	1,1,1,1,1,0,0
AM42-1	1,1,1,1,1,0,0
AM42-17AT	1,1,1,1,1,0,0
AM44-1AT	1,1,1,1,1,0,0
AM44-2AT	1,1,1,1,1,0,0
AM47-6BH	1,1,1,1,1,0,0
AM48-7	1,1,1,1,1,0,0
AM54-25XD	1,1,1,1,1,0,0
AM97-21	1,1,1,1,1,0,0
OF27-10pH9A	1,1,1,1,1,0,0
OM05-3AA	1,1,1,1,1,0,0
OM05-6AA	1,1,1,1,1,0,0
OM05-8AA	1,1,1,1,1,0,0
OM07-13	1,1,1,1,1,0,0
OM08-12AT	1,1,1,1,1,0,0
TF10-5	1,1,1,1,1,0,0
TF11-15AC	1,1,1,1,1,0,0
TM10-3	1,1,1,1,1,0,0
GCA_000210535	0,1,1,1,1,0,0
GCA_014287855	1,1,1,0,0,1,1
GCA_000218425	0,0,0,1,0,0,0
GCF_000159055	1,1,1,1,1,0,0
411486.3	1,1,1,1,1,0,0
AF02-29	1,1,1,1,1,0,0
AF12-40	1,1,1,1,1,0,0
AF12-41	1,1,1,1,1,0,0
AF20-7	1,1,1,1,1,0,0
AF21-20LB	1,1,1,1,1,0,0
AF22-10	1,1,1,1,1,0,0
AF24-2LB	1,1,1,1,1,0,0
AF24-4LB	0,0,1,1,0,0,0
AF27-5AA	1,1,1,1,1,0,0
AF29-8BH	1,1,1,1,1,0,0
AF32-7AC	1,1,1,1,1,0,0
AF35-15	1,1,1,1,1,0,0
AF36-6	1,1,1,1,1,0,0
AF37-7	1,1,1,1,1,0,0
AF50-3	1,1,1,1,1,0,0
AF55-34	0,0,1,1,0,0,0
AF55-34A	0,0,1,1,0,0,0
AF58-20A	1,1,1,1,1,0,0
AF94-39M2A	1,1,1,1,1,0,0
AF96-34DTA	1,1,1,1,1,0,0
AM05-22	0,0,0,1,0,0,0
AM07-30	0,0,0,1,0,0,0
AM100-PB-1D-18A	1,1,1,1,1,0,0
AM10C-15pH9TA	1,1,1,1,1,0,0
AM18-55	1,1,1,1,1,0,0
AM18-55-r	1,1,1,1,1,0,0
AM27-28	1,1,1,1,1,0,0
AM28-20LB	1,1,1,1,1,0,0
AM29-11AC	1,1,1,1,1,0,0
AM39-1BH	1,1,1,1,1,0,0
AM43-3BH	1,1,1,1,1,0,0
AM48-13	1,1,1,1,1,0,0
AM65-20ACA	1,1,1,1,1,0,0
AM72-19pH9A	1,1,1,1,1,0,0
AM88-09pH10A	1,1,1,1,1,0,0
AM93-12TA	1,1,1,1,1,0,0
OF01-1AC	1,1,1,1,1,0,0
OF13-4	1,1,1,1,1,0,0
OF25-8pH10A	0,0,1,1,0,0,0
OM04-7	1,1,1,1,1,0,0
OM05-5BH	1,1,1,1,1,0,0
OM13-16MHA	1,1,1,1,1,0,0
OM13-25BHA	1,1,1,1,1,0,0
TF06-15AC	1,1,1,1,1,0,0
TF11-13AC	1,1,1,1,1,0,0
GCA_003862485	1,1,1,1,1,0,0
GCA_001552975	1,1,1,1,1,0,0
GCA_000185385	1,1,1,1,1,0,0
GCA_000257705	1,1,1,1,1,0,0
GCA_003589745	1,1,1,1,1,0,0
