genome,group,pos
GCA_013299645.fna,Clade1,2936505
GCA_013299645.fna,Clade1,2936622
GCA_013299645.fna,Clade1,2936964
GCA_013299645.fna,Clade1,2937024
GCA_013299645.fna,Clade1,2937045
GCA_013299645.fna,Clade1,2937054
GCA_013299645.fna,Clade1,2937066
GCA_013299645.fna,Clade1,2938831
GCA_013299645.fna,Clade1,2938897
GCA_013299645.fna,Clade1,2939155
GCA_013299645.fna,Clade1,2939233
GCA_013299645.fna,Clade1,2939539
GCA_013299645.fna,Clade1,2939566
GCA_013299645.fna,Clade1,2939625
GCA_013299645.fna,Clade1,2939646
GCA_013299645.fna,Clade1,2939668
GCA_013299645.fna,Clade1,2939749
GCA_013299645.fna,Clade1,2939767
GCA_013299645.fna,Clade1,2939833
GCA_013299645.fna,Clade1,2941381
GCA_013299645.fna,Clade1,2941386
GCA_013299645.fna,Clade1,2941389
GCA_013299645.fna,Clade1,2941398
GCA_013299645.fna,Clade1,2941465
GCA_013299645.fna,Clade1,2941498
GCA_013299645.fna,Clade1,2941499
GCA_013299645.fna,Clade1,2941503
GCA_013299645.fna,Clade1,2941510
GCA_013299645.fna,Clade1,2941531
GCA_013299645.fna,Clade1,2941536
GCA_013299645.fna,Clade1,2941553
GCA_013299645.fna,Clade1,2941554
GCA_013299645.fna,Clade1,2941568
GCA_013299645.fna,Clade1,2941576
GCA_013299645.fna,Clade1,2941582
GCA_013299645.fna,Clade1,2941598
GCA_013299645.fna,Clade1,2941600
GCA_013299645.fna,Clade1,2941606
GCA_013299645.fna,Clade1,2941612
GCA_013299645.fna,Clade1,2941621
GCA_013299645.fna,Clade1,2941654
GCA_013299645.fna,Clade1,2941693
GCA_013299645.fna,Clade1,2941816
GCA_013299645.fna,Clade1,2941825
GCA_013299645.fna,Clade1,2941948
GCA_013299645.fna,Clade1,2942757
GCA_013299645.fna,Clade1,2942767
GCA_013299645.fna,Clade1,2942862
GCA_013299645.fna,Clade1,2943112
GCA_013299645.fna,Clade1,2943229
GCA_013299645.fna,Clade1,2943270
GCA_013299645.fna,Clade1,2943278
GCA_013299645.fna,Clade1,2943301
GCA_013299645.fna,Clade1,2943302
GCA_013299645.fna,Clade1,2943303
GCA_013299645.fna,Clade1,2943305
GCA_013299645.fna,Clade1,2943309
GCA_013299645.fna,Clade1,2943311
GCA_013299645.fna,Clade1,2943312
GCA_013299645.fna,Clade1,2943313
GCA_013299645.fna,Clade1,2943319
GCA_013299645.fna,Clade1,2943415
GCA_013299645.fna,Clade1,2943418
GCA_013299645.fna,Clade1,2943506
GCA_013299655.fna,Clade1,2936505
GCA_013299655.fna,Clade1,2936622
GCA_013299655.fna,Clade1,2936964
GCA_013299655.fna,Clade1,2937024
GCA_013299655.fna,Clade1,2937045
GCA_013299655.fna,Clade1,2937054
GCA_013299655.fna,Clade1,2937066
GCA_013299655.fna,Clade1,2938831
GCA_013299655.fna,Clade1,2938897
GCA_013299655.fna,Clade1,2939155
GCA_013299655.fna,Clade1,2939233
GCA_013299655.fna,Clade1,2939539
GCA_013299655.fna,Clade1,2939566
GCA_013299655.fna,Clade1,2939625
GCA_013299655.fna,Clade1,2939646
GCA_013299655.fna,Clade1,2939668
GCA_013299655.fna,Clade1,2939749
GCA_013299655.fna,Clade1,2939767
GCA_013299655.fna,Clade1,2939833
GCA_013299655.fna,Clade1,2941381
GCA_013299655.fna,Clade1,2941386
GCA_013299655.fna,Clade1,2941389
GCA_013299655.fna,Clade1,2941398
GCA_013299655.fna,Clade1,2941465
GCA_013299655.fna,Clade1,2941498
GCA_013299655.fna,Clade1,2941499
GCA_013299655.fna,Clade1,2941503
GCA_013299655.fna,Clade1,2941510
GCA_013299655.fna,Clade1,2941531
GCA_013299655.fna,Clade1,2941536
GCA_013299655.fna,Clade1,2941553
GCA_013299655.fna,Clade1,2941554
GCA_013299655.fna,Clade1,2941568
GCA_013299655.fna,Clade1,2941576
GCA_013299655.fna,Clade1,2941582
GCA_013299655.fna,Clade1,2941598
GCA_013299655.fna,Clade1,2941600
GCA_013299655.fna,Clade1,2941606
GCA_013299655.fna,Clade1,2941612
GCA_013299655.fna,Clade1,2941621
GCA_013299655.fna,Clade1,2941654
GCA_013299655.fna,Clade1,2941693
GCA_013299655.fna,Clade1,2941816
GCA_013299655.fna,Clade1,2941825
GCA_013299655.fna,Clade1,2941948
GCA_013299655.fna,Clade1,2942757
GCA_013299655.fna,Clade1,2942767
GCA_013299655.fna,Clade1,2942862
GCA_013299655.fna,Clade1,2943112
GCA_013299655.fna,Clade1,2943229
GCA_013299655.fna,Clade1,2943270
GCA_013299655.fna,Clade1,2943278
GCA_013299655.fna,Clade1,2943301
GCA_013299655.fna,Clade1,2943302
GCA_013299655.fna,Clade1,2943303
GCA_013299655.fna,Clade1,2943305
GCA_013299655.fna,Clade1,2943309
GCA_013299655.fna,Clade1,2943311
GCA_013299655.fna,Clade1,2943312
GCA_013299655.fna,Clade1,2943313
GCA_013299655.fna,Clade1,2943319
GCA_013299655.fna,Clade1,2943415
GCA_013299655.fna,Clade1,2943418
GCA_013299655.fna,Clade1,2943506
GCA_013299675.fna,Clade1,2936505
GCA_013299675.fna,Clade1,2936622
GCA_013299675.fna,Clade1,2936964
GCA_013299675.fna,Clade1,2937024
GCA_013299675.fna,Clade1,2937045
GCA_013299675.fna,Clade1,2937054
GCA_013299675.fna,Clade1,2937066
GCA_013299675.fna,Clade1,2938831
GCA_013299675.fna,Clade1,2938897
GCA_013299675.fna,Clade1,2939155
GCA_013299675.fna,Clade1,2939233
GCA_013299675.fna,Clade1,2939539
GCA_013299675.fna,Clade1,2939566
GCA_013299675.fna,Clade1,2939625
GCA_013299675.fna,Clade1,2939646
GCA_013299675.fna,Clade1,2939668
GCA_013299675.fna,Clade1,2939749
GCA_013299675.fna,Clade1,2939767
GCA_013299675.fna,Clade1,2939833
GCA_013299675.fna,Clade1,2941381
GCA_013299675.fna,Clade1,2941386
GCA_013299675.fna,Clade1,2941389
GCA_013299675.fna,Clade1,2941398
GCA_013299675.fna,Clade1,2941465
GCA_013299675.fna,Clade1,2941498
GCA_013299675.fna,Clade1,2941499
GCA_013299675.fna,Clade1,2941503
GCA_013299675.fna,Clade1,2941510
GCA_013299675.fna,Clade1,2941531
GCA_013299675.fna,Clade1,2941536
GCA_013299675.fna,Clade1,2941553
GCA_013299675.fna,Clade1,2941554
GCA_013299675.fna,Clade1,2941568
GCA_013299675.fna,Clade1,2941576
GCA_013299675.fna,Clade1,2941582
GCA_013299675.fna,Clade1,2941598
GCA_013299675.fna,Clade1,2941600
GCA_013299675.fna,Clade1,2941606
GCA_013299675.fna,Clade1,2941612
GCA_013299675.fna,Clade1,2941621
GCA_013299675.fna,Clade1,2941654
GCA_013299675.fna,Clade1,2941693
GCA_013299675.fna,Clade1,2941816
GCA_013299675.fna,Clade1,2941825
GCA_013299675.fna,Clade1,2941948
GCA_013299675.fna,Clade1,2942757
GCA_013299675.fna,Clade1,2942767
GCA_013299675.fna,Clade1,2942862
GCA_013299675.fna,Clade1,2943112
GCA_013299675.fna,Clade1,2943229
GCA_013299675.fna,Clade1,2943270
GCA_013299675.fna,Clade1,2943278
GCA_013299675.fna,Clade1,2943301
GCA_013299675.fna,Clade1,2943302
GCA_013299675.fna,Clade1,2943303
GCA_013299675.fna,Clade1,2943305
GCA_013299675.fna,Clade1,2943309
GCA_013299675.fna,Clade1,2943311
GCA_013299675.fna,Clade1,2943312
GCA_013299675.fna,Clade1,2943313
GCA_013299675.fna,Clade1,2943319
GCA_013299675.fna,Clade1,2943415
GCA_013299675.fna,Clade1,2943418
GCA_013299675.fna,Clade1,2943506
GCA_013300505.fna,Clade1,2936505
GCA_013300505.fna,Clade1,2936622
GCA_013300505.fna,Clade1,2936964
GCA_013300505.fna,Clade1,2937024
GCA_013300505.fna,Clade1,2937045
GCA_013300505.fna,Clade1,2937054
GCA_013300505.fna,Clade1,2937066
GCA_013300505.fna,Clade1,2938831
GCA_013300505.fna,Clade1,2938897
GCA_013300505.fna,Clade1,2939155
GCA_013300505.fna,Clade1,2939233
GCA_013300505.fna,Clade1,2939539
GCA_013300505.fna,Clade1,2939566
GCA_013300505.fna,Clade1,2939625
GCA_013300505.fna,Clade1,2939646
GCA_013300505.fna,Clade1,2939668
GCA_013300505.fna,Clade1,2939749
GCA_013300505.fna,Clade1,2939767
GCA_013300505.fna,Clade1,2939833
GCA_013300505.fna,Clade1,2941381
GCA_013300505.fna,Clade1,2941386
GCA_013300505.fna,Clade1,2941389
GCA_013300505.fna,Clade1,2941398
GCA_013300505.fna,Clade1,2941465
GCA_013300505.fna,Clade1,2941498
GCA_013300505.fna,Clade1,2941499
GCA_013300505.fna,Clade1,2941503
GCA_013300505.fna,Clade1,2941510
GCA_013300505.fna,Clade1,2941531
GCA_013300505.fna,Clade1,2941536
GCA_013300505.fna,Clade1,2941553
GCA_013300505.fna,Clade1,2941554
GCA_013300505.fna,Clade1,2941568
GCA_013300505.fna,Clade1,2941576
GCA_013300505.fna,Clade1,2941582
GCA_013300505.fna,Clade1,2941598
GCA_013300505.fna,Clade1,2941600
GCA_013300505.fna,Clade1,2941606
GCA_013300505.fna,Clade1,2941612
GCA_013300505.fna,Clade1,2941621
GCA_013300505.fna,Clade1,2941654
GCA_013300505.fna,Clade1,2941693
GCA_013300505.fna,Clade1,2941816
GCA_013300505.fna,Clade1,2941825
GCA_013300505.fna,Clade1,2941948
GCA_013300505.fna,Clade1,2942757
GCA_013300505.fna,Clade1,2942767
GCA_013300505.fna,Clade1,2942862
GCA_013300505.fna,Clade1,2943112
GCA_013300505.fna,Clade1,2943229
GCA_013300505.fna,Clade1,2943270
GCA_013300505.fna,Clade1,2943278
GCA_013300505.fna,Clade1,2943301
GCA_013300505.fna,Clade1,2943302
GCA_013300505.fna,Clade1,2943303
GCA_013300505.fna,Clade1,2943305
GCA_013300505.fna,Clade1,2943309
GCA_013300505.fna,Clade1,2943311
GCA_013300505.fna,Clade1,2943312
GCA_013300505.fna,Clade1,2943313
GCA_013300505.fna,Clade1,2943319
GCA_013300505.fna,Clade1,2943415
GCA_013300505.fna,Clade1,2943418
GCA_013300505.fna,Clade1,2943506
GCA_013300555.fna,Clade1,2936505
GCA_013300555.fna,Clade1,2936622
GCA_013300555.fna,Clade1,2936964
GCA_013300555.fna,Clade1,2937024
GCA_013300555.fna,Clade1,2937045
GCA_013300555.fna,Clade1,2937054
GCA_013300555.fna,Clade1,2937066
GCA_013300555.fna,Clade1,2938831
GCA_013300555.fna,Clade1,2938897
GCA_013300555.fna,Clade1,2939155
GCA_013300555.fna,Clade1,2939233
GCA_013300555.fna,Clade1,2939539
GCA_013300555.fna,Clade1,2939566
GCA_013300555.fna,Clade1,2939625
GCA_013300555.fna,Clade1,2939646
GCA_013300555.fna,Clade1,2939668
GCA_013300555.fna,Clade1,2939749
GCA_013300555.fna,Clade1,2939767
GCA_013300555.fna,Clade1,2939833
GCA_013300555.fna,Clade1,2941381
GCA_013300555.fna,Clade1,2941386
GCA_013300555.fna,Clade1,2941389
GCA_013300555.fna,Clade1,2941398
GCA_013300555.fna,Clade1,2941465
GCA_013300555.fna,Clade1,2941498
GCA_013300555.fna,Clade1,2941499
GCA_013300555.fna,Clade1,2941503
GCA_013300555.fna,Clade1,2941510
GCA_013300555.fna,Clade1,2941531
GCA_013300555.fna,Clade1,2941536
GCA_013300555.fna,Clade1,2941553
GCA_013300555.fna,Clade1,2941554
GCA_013300555.fna,Clade1,2941568
GCA_013300555.fna,Clade1,2941576
GCA_013300555.fna,Clade1,2941582
GCA_013300555.fna,Clade1,2941598
GCA_013300555.fna,Clade1,2941600
GCA_013300555.fna,Clade1,2941606
GCA_013300555.fna,Clade1,2941612
GCA_013300555.fna,Clade1,2941621
GCA_013300555.fna,Clade1,2941654
GCA_013300555.fna,Clade1,2941693
GCA_013300555.fna,Clade1,2941816
GCA_013300555.fna,Clade1,2941825
GCA_013300555.fna,Clade1,2941948
GCA_013300555.fna,Clade1,2942757
GCA_013300555.fna,Clade1,2942767
GCA_013300555.fna,Clade1,2942862
GCA_013300555.fna,Clade1,2943112
GCA_013300555.fna,Clade1,2943229
GCA_013300555.fna,Clade1,2943270
GCA_013300555.fna,Clade1,2943278
GCA_013300555.fna,Clade1,2943301
GCA_013300555.fna,Clade1,2943302
GCA_013300555.fna,Clade1,2943303
GCA_013300555.fna,Clade1,2943305
GCA_013300555.fna,Clade1,2943309
GCA_013300555.fna,Clade1,2943311
GCA_013300555.fna,Clade1,2943312
GCA_013300555.fna,Clade1,2943313
GCA_013300555.fna,Clade1,2943319
GCA_013300555.fna,Clade1,2943415
GCA_013300555.fna,Clade1,2943418
GCA_013300555.fna,Clade1,2943506
GCA_013300575.fna,Clade1,2936505
GCA_013300575.fna,Clade1,2936622
GCA_013300575.fna,Clade1,2936964
GCA_013300575.fna,Clade1,2937024
GCA_013300575.fna,Clade1,2937045
GCA_013300575.fna,Clade1,2937054
GCA_013300575.fna,Clade1,2937066
GCA_013300575.fna,Clade1,2938831
GCA_013300575.fna,Clade1,2938897
GCA_013300575.fna,Clade1,2939155
GCA_013300575.fna,Clade1,2939233
GCA_013300575.fna,Clade1,2939539
GCA_013300575.fna,Clade1,2939566
GCA_013300575.fna,Clade1,2939625
GCA_013300575.fna,Clade1,2939646
GCA_013300575.fna,Clade1,2939668
GCA_013300575.fna,Clade1,2939749
GCA_013300575.fna,Clade1,2939767
GCA_013300575.fna,Clade1,2939833
GCA_013300575.fna,Clade1,2941381
GCA_013300575.fna,Clade1,2941386
GCA_013300575.fna,Clade1,2941389
GCA_013300575.fna,Clade1,2941398
GCA_013300575.fna,Clade1,2941465
GCA_013300575.fna,Clade1,2941498
GCA_013300575.fna,Clade1,2941499
GCA_013300575.fna,Clade1,2941503
GCA_013300575.fna,Clade1,2941510
GCA_013300575.fna,Clade1,2941531
GCA_013300575.fna,Clade1,2941536
GCA_013300575.fna,Clade1,2941553
GCA_013300575.fna,Clade1,2941554
GCA_013300575.fna,Clade1,2941568
GCA_013300575.fna,Clade1,2941576
GCA_013300575.fna,Clade1,2941582
GCA_013300575.fna,Clade1,2941598
GCA_013300575.fna,Clade1,2941600
GCA_013300575.fna,Clade1,2941606
GCA_013300575.fna,Clade1,2941612
GCA_013300575.fna,Clade1,2941621
GCA_013300575.fna,Clade1,2941654
GCA_013300575.fna,Clade1,2941693
GCA_013300575.fna,Clade1,2941816
GCA_013300575.fna,Clade1,2941825
GCA_013300575.fna,Clade1,2941948
GCA_013300575.fna,Clade1,2942757
GCA_013300575.fna,Clade1,2942767
GCA_013300575.fna,Clade1,2942862
GCA_013300575.fna,Clade1,2943112
GCA_013300575.fna,Clade1,2943229
GCA_013300575.fna,Clade1,2943270
GCA_013300575.fna,Clade1,2943278
GCA_013300575.fna,Clade1,2943301
GCA_013300575.fna,Clade1,2943302
GCA_013300575.fna,Clade1,2943303
GCA_013300575.fna,Clade1,2943305
GCA_013300575.fna,Clade1,2943309
GCA_013300575.fna,Clade1,2943311
GCA_013300575.fna,Clade1,2943312
GCA_013300575.fna,Clade1,2943313
GCA_013300575.fna,Clade1,2943319
GCA_013300575.fna,Clade1,2943415
GCA_013300575.fna,Clade1,2943418
GCA_013300575.fna,Clade1,2943506
GCA_013300625.fna,Clade1,2936505
GCA_013300625.fna,Clade1,2936622
GCA_013300625.fna,Clade1,2936964
GCA_013300625.fna,Clade1,2937024
GCA_013300625.fna,Clade1,2937045
GCA_013300625.fna,Clade1,2937054
GCA_013300625.fna,Clade1,2937066
GCA_013300625.fna,Clade1,2938831
GCA_013300625.fna,Clade1,2938897
GCA_013300625.fna,Clade1,2939155
GCA_013300625.fna,Clade1,2939233
GCA_013300625.fna,Clade1,2939539
GCA_013300625.fna,Clade1,2939566
GCA_013300625.fna,Clade1,2939625
GCA_013300625.fna,Clade1,2939646
GCA_013300625.fna,Clade1,2939668
GCA_013300625.fna,Clade1,2939749
GCA_013300625.fna,Clade1,2939767
GCA_013300625.fna,Clade1,2939833
GCA_013300625.fna,Clade1,2941381
GCA_013300625.fna,Clade1,2941386
GCA_013300625.fna,Clade1,2941389
GCA_013300625.fna,Clade1,2941398
GCA_013300625.fna,Clade1,2941465
GCA_013300625.fna,Clade1,2941498
GCA_013300625.fna,Clade1,2941499
GCA_013300625.fna,Clade1,2941503
GCA_013300625.fna,Clade1,2941510
GCA_013300625.fna,Clade1,2941531
GCA_013300625.fna,Clade1,2941536
GCA_013300625.fna,Clade1,2941553
GCA_013300625.fna,Clade1,2941554
GCA_013300625.fna,Clade1,2941568
GCA_013300625.fna,Clade1,2941576
GCA_013300625.fna,Clade1,2941582
GCA_013300625.fna,Clade1,2941598
GCA_013300625.fna,Clade1,2941600
GCA_013300625.fna,Clade1,2941606
GCA_013300625.fna,Clade1,2941612
GCA_013300625.fna,Clade1,2941621
GCA_013300625.fna,Clade1,2941654
GCA_013300625.fna,Clade1,2941693
GCA_013300625.fna,Clade1,2941816
GCA_013300625.fna,Clade1,2941825
GCA_013300625.fna,Clade1,2941948
GCA_013300625.fna,Clade1,2942757
GCA_013300625.fna,Clade1,2942767
GCA_013300625.fna,Clade1,2942862
GCA_013300625.fna,Clade1,2943112
GCA_013300625.fna,Clade1,2943229
GCA_013300625.fna,Clade1,2943270
GCA_013300625.fna,Clade1,2943278
GCA_013300625.fna,Clade1,2943301
GCA_013300625.fna,Clade1,2943302
GCA_013300625.fna,Clade1,2943303
GCA_013300625.fna,Clade1,2943305
GCA_013300625.fna,Clade1,2943309
GCA_013300625.fna,Clade1,2943311
GCA_013300625.fna,Clade1,2943312
GCA_013300625.fna,Clade1,2943313
GCA_013300625.fna,Clade1,2943319
GCA_013300625.fna,Clade1,2943415
GCA_013300625.fna,Clade1,2943418
GCA_013300625.fna,Clade1,2943506
GCA_013300655.fna,Clade1,2936505
GCA_013300655.fna,Clade1,2936622
GCA_013300655.fna,Clade1,2936964
GCA_013300655.fna,Clade1,2937024
GCA_013300655.fna,Clade1,2937045
GCA_013300655.fna,Clade1,2937054
GCA_013300655.fna,Clade1,2937066
GCA_013300655.fna,Clade1,2938831
GCA_013300655.fna,Clade1,2938897
GCA_013300655.fna,Clade1,2939155
GCA_013300655.fna,Clade1,2939233
GCA_013300655.fna,Clade1,2939539
GCA_013300655.fna,Clade1,2939566
GCA_013300655.fna,Clade1,2939625
GCA_013300655.fna,Clade1,2939646
GCA_013300655.fna,Clade1,2939668
GCA_013300655.fna,Clade1,2939749
GCA_013300655.fna,Clade1,2939767
GCA_013300655.fna,Clade1,2939833
GCA_013300655.fna,Clade1,2941381
GCA_013300655.fna,Clade1,2941386
GCA_013300655.fna,Clade1,2941389
GCA_013300655.fna,Clade1,2941398
GCA_013300655.fna,Clade1,2941465
GCA_013300655.fna,Clade1,2941498
GCA_013300655.fna,Clade1,2941499
GCA_013300655.fna,Clade1,2941503
GCA_013300655.fna,Clade1,2941510
GCA_013300655.fna,Clade1,2941531
GCA_013300655.fna,Clade1,2941536
GCA_013300655.fna,Clade1,2941553
GCA_013300655.fna,Clade1,2941554
GCA_013300655.fna,Clade1,2941568
GCA_013300655.fna,Clade1,2941576
GCA_013300655.fna,Clade1,2941582
GCA_013300655.fna,Clade1,2941598
GCA_013300655.fna,Clade1,2941600
GCA_013300655.fna,Clade1,2941606
GCA_013300655.fna,Clade1,2941612
GCA_013300655.fna,Clade1,2941621
GCA_013300655.fna,Clade1,2941654
GCA_013300655.fna,Clade1,2941693
GCA_013300655.fna,Clade1,2941816
GCA_013300655.fna,Clade1,2941825
GCA_013300655.fna,Clade1,2941948
GCA_013300655.fna,Clade1,2942757
GCA_013300655.fna,Clade1,2942767
GCA_013300655.fna,Clade1,2942862
GCA_013300655.fna,Clade1,2943112
GCA_013300655.fna,Clade1,2943229
GCA_013300655.fna,Clade1,2943270
GCA_013300655.fna,Clade1,2943278
GCA_013300655.fna,Clade1,2943301
GCA_013300655.fna,Clade1,2943302
GCA_013300655.fna,Clade1,2943303
GCA_013300655.fna,Clade1,2943305
GCA_013300655.fna,Clade1,2943309
GCA_013300655.fna,Clade1,2943311
GCA_013300655.fna,Clade1,2943312
GCA_013300655.fna,Clade1,2943313
GCA_013300655.fna,Clade1,2943319
GCA_013300655.fna,Clade1,2943415
GCA_013300655.fna,Clade1,2943418
GCA_013300655.fna,Clade1,2943506
GCA_013300675.fna,Clade1,2936505
GCA_013300675.fna,Clade1,2936622
GCA_013300675.fna,Clade1,2936964
GCA_013300675.fna,Clade1,2937024
GCA_013300675.fna,Clade1,2937045
GCA_013300675.fna,Clade1,2937054
GCA_013300675.fna,Clade1,2937066
GCA_013300675.fna,Clade1,2938831
GCA_013300675.fna,Clade1,2938897
GCA_013300675.fna,Clade1,2939155
GCA_013300675.fna,Clade1,2939233
GCA_013300675.fna,Clade1,2939539
GCA_013300675.fna,Clade1,2939566
GCA_013300675.fna,Clade1,2939625
GCA_013300675.fna,Clade1,2939646
GCA_013300675.fna,Clade1,2939668
GCA_013300675.fna,Clade1,2939749
GCA_013300675.fna,Clade1,2939767
GCA_013300675.fna,Clade1,2939833
GCA_013300675.fna,Clade1,2941381
GCA_013300675.fna,Clade1,2941386
GCA_013300675.fna,Clade1,2941389
GCA_013300675.fna,Clade1,2941398
GCA_013300675.fna,Clade1,2941465
GCA_013300675.fna,Clade1,2941498
GCA_013300675.fna,Clade1,2941499
GCA_013300675.fna,Clade1,2941503
GCA_013300675.fna,Clade1,2941510
GCA_013300675.fna,Clade1,2941531
GCA_013300675.fna,Clade1,2941536
GCA_013300675.fna,Clade1,2941553
GCA_013300675.fna,Clade1,2941554
GCA_013300675.fna,Clade1,2941568
GCA_013300675.fna,Clade1,2941576
GCA_013300675.fna,Clade1,2941582
GCA_013300675.fna,Clade1,2941598
GCA_013300675.fna,Clade1,2941600
GCA_013300675.fna,Clade1,2941606
GCA_013300675.fna,Clade1,2941612
GCA_013300675.fna,Clade1,2941621
GCA_013300675.fna,Clade1,2941654
GCA_013300675.fna,Clade1,2941693
GCA_013300675.fna,Clade1,2941816
GCA_013300675.fna,Clade1,2941825
GCA_013300675.fna,Clade1,2941948
GCA_013300675.fna,Clade1,2942757
GCA_013300675.fna,Clade1,2942767
GCA_013300675.fna,Clade1,2942862
GCA_013300675.fna,Clade1,2943112
GCA_013300675.fna,Clade1,2943229
GCA_013300675.fna,Clade1,2943270
GCA_013300675.fna,Clade1,2943278
GCA_013300675.fna,Clade1,2943301
GCA_013300675.fna,Clade1,2943302
GCA_013300675.fna,Clade1,2943303
GCA_013300675.fna,Clade1,2943305
GCA_013300675.fna,Clade1,2943309
GCA_013300675.fna,Clade1,2943311
GCA_013300675.fna,Clade1,2943312
GCA_013300675.fna,Clade1,2943313
GCA_013300675.fna,Clade1,2943319
GCA_013300675.fna,Clade1,2943415
GCA_013300675.fna,Clade1,2943418
GCA_013300675.fna,Clade1,2943506
GCA_013303785.fna,Clade1,2936622
GCA_013303785.fna,Clade1,2936964
GCA_013303785.fna,Clade1,2937045
GCA_013303785.fna,Clade1,2937054
GCA_013303785.fna,Clade1,2937066
GCA_013303785.fna,Clade1,2937075
