Gene,GCA_000145035,GCA_000420965,GCA_000420985,GCA_000423985,GCA_000424405,GCA_000424425,GCA_000424465,GCA_000424565,GCA_000621465,GCA_000622085,GCA_000686065,GCA_000686965,GCA_001858005,GCA_003175155,GCA_900101605,GCA_900110805,GCA_900111185,GCA_900115735,GCA_900129945,GCA_900143205
group_194,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1
group_22,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
wbpA,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1
rhaR_6,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_235,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
group_248,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0
group_273,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0
yagG_1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ansA,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
group_3025,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0
mepA_2,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0
group_48,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1
group_51,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0
group_52,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
group_547,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0
yeeO_1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
dppB_2,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
oppC_2,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
group_7,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
oppF_3,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
group_8,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1
group_887,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0
group_988,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1
group_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
purH,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10012,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
fucO,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
fba_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
araQ_11,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10069,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
kduI,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
kduD,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10072,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
uxaB,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
uxaA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
adhE,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10091,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
rpsR,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
dnaC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ywlF_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
upp,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10098,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
spoVG,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
glgC_3,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pfp_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
xpkA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10139,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
betI,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
clpX_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
argR,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
prfC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10167,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
rpsO,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
yknY_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
macB_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
walR_4,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10268,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
thlA_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10277,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10278,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1028,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
fba_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
greA_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10294,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
rmlC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
iolC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1031,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
thrZ,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pyk,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1035,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
glyQS,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10407,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
arlR_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1043,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
xylP_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10445,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10447,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1046,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
nrdG_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1052,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10520,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
xylA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1054,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10545,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10548,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10549,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10553,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_10604,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
glgB_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
hypA_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1072,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
group_1074,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
group_1077,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1078,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
group_1084,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1087,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pctC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1094,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
whiA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_11,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
epsN,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
yteP_10,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
mutL,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_118,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1221,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
group_126,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_129,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
guaB,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1352,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
group_1368,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
malL,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
rplT,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
rplS,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
yknY_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1400,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
rpmE,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
group_1433,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
fusA_2,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
group_1449,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
group_1451,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
cdd,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
thrC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1468,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_147,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1471,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
arnA_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1481,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ubiB,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1487,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
cheA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1492,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pal,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pomA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1496,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
fliF,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
fliE,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1499,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1501,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
topB_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
mepA_4,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1505,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1508,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
btuD_17,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
paaI,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
apeA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ktrA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1523,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
lexA_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
dinB_3,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1526,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1531,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ruvB,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1535,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
coaD,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
nadD,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_154,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1542,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
cmk_4,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_155,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
yidC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1557,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1559,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_156,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1561,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1562,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1563,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1564,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ttcA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
purN,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ytrA_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
czrA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1575,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
irtA,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
hypB_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1593,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
yrdA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1598,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pyrK,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
mreB_3,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
recD2_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
tarI_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
cmk_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
melD_2,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1610,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
rlmB_3,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
dnaE,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
pgi,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
lspA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1619,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ung,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
aroH,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1623,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
gppA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1633,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1639,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
exoA,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1642,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
ssb,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
hisC,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
melC_1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_166,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
lpxD,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1669,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
rplJ,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
