feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis GCA_015557515,0.41574,pos,0.41574,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis GCA_015557515,0.31223,pos,0.31223,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis GCA_015557515,0.31991,pos,0.31991,0,0
Agathobacter faecis 21673_4_84,Agathobacter rectalis GCA_015557515,0.43974,pos,0.43974,0,0
Agathobacter faecis GCA_001405615,Agathobacter rectalis GCA_015557515,0.44782,pos,0.44782,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis GCA_015557515,0.44703,pos,0.44703,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis GCA_015557515,0.77222,pos,0.77222,0,0
Agathobacter rectalis GCA_001406835,Agathobacter rectalis GCA_015557515,0.90385,pos,0.90385,0,0
Agathobacter rectalis GCA_013303775,Agathobacter rectalis GCA_015557515,0.80444,pos,0.80444,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis GCA_018784685,0.39154,pos,0.39154,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis GCA_018784685,0.3025,pos,0.3025,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis GCA_018784685,0.31715,pos,0.31715,0,0
Agathobacter faecis 21673_4_84,Agathobacter rectalis GCA_018784685,0.48982,pos,0.48982,0,0
Agathobacter faecis GCA_001405615,Agathobacter rectalis GCA_018784685,0.48173,pos,0.48173,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis GCA_018784685,0.4641,pos,0.4641,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis GCA_018784685,0.7864,pos,0.7864,0,0
Agathobacter rectalis GCA_001406835,Agathobacter rectalis GCA_018784685,0.90815,pos,0.90815,0,0
Agathobacter rectalis GCA_013303775,Agathobacter rectalis GCA_018784685,0.7561,pos,0.7561,0,0
Agathobacter rectalis GCA_015557515,Agathobacter rectalis GCA_018784685,0.91686,pos,0.91686,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis TM10-3,0.35884,pos,0.35884,0,0
Agathobacter faecis 21673_4_84,Agathobacter rectalis TM10-3,0.4677,pos,0.4677,0,0
Agathobacter faecis GCA_001405615,Agathobacter rectalis TM10-3,0.46531,pos,0.46531,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis TM10-3,0.44602,pos,0.44602,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis TM10-3,0.7832,pos,0.7832,0,0
Agathobacter rectalis GCA_001406835,Agathobacter rectalis TM10-3,0.90129,pos,0.90129,0,0
Agathobacter rectalis GCA_013303775,Agathobacter rectalis TM10-3,0.7694,pos,0.7694,0,0
Agathobacter rectalis GCA_015557515,Agathobacter rectalis TM10-3,0.92627,pos,0.92627,0,0
Agathobacter rectalis GCA_018784685,Agathobacter rectalis TM10-3,0.90613,pos,0.90613,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter sp. 20427_4_23,0.49558,pos,0.49558,0,0
Acetatifactor sp. AF34-10BH,Agathobacter sp. 20427_4_23,0.50651,pos,0.50651,0,0
Acetatifactor sp. AF46-12NS,Agathobacter sp. 20427_4_23,0.3441,pos,0.3441,0,0
Acetatifactor sp. TM11-1A,Agathobacter sp. 20427_4_23,0.48518,pos,0.48518,0,0
Agathobacter faecis 21673_4_84,Agathobacter sp. 20427_4_23,0.55802,pos,0.55802,0,0
Agathobacter faecis GCA_001405615,Agathobacter sp. 20427_4_23,0.58401,pos,0.58401,0,0
Agathobacter faecis GCA_015550045,Agathobacter sp. 20427_4_23,0.56319,pos,0.56319,0,0
Agathobacter rectalis AF17-27,Agathobacter sp. 20427_4_23,0.55417,pos,0.55417,0,0
Agathobacter rectalis GCA_001406835,Agathobacter sp. 20427_4_23,0.46337,pos,0.46337,0,0
Agathobacter rectalis GCA_013303775,Agathobacter sp. 20427_4_23,0.37458,pos,0.37458,0,0
Agathobacter rectalis GCA_015557515,Agathobacter sp. 20427_4_23,0.45934,pos,0.45934,0,0
Agathobacter rectalis GCA_018784685,Agathobacter sp. 20427_4_23,0.49008,pos,0.49008,0,0
Agathobacter rectalis TM10-3,Agathobacter sp. 20427_4_23,0.44559,pos,0.44559,0,0
Acetatifactor intestinalis AF22-6AC,Bariatricus comes GCA_013301565,0.31718,pos,0.31718,0,0
Acetatifactor sp. AF34-10BH,Bariatricus comes GCA_013301565,0.31883,pos,0.31883,0,0
Acetatifactor sp. TM11-1A,Bariatricus comes GCA_013301565,0.30699,pos,0.30699,0,0
Agathobacter faecis GCA_015550045,Bariatricus comes GCA_013301565,0.30936,pos,0.30936,0,0
Agathobacter rectalis AF17-27,Bariatricus comes GCA_013301565,0.37968,pos,0.37968,0,0
Agathobacter rectalis GCA_001406835,Bariatricus comes GCA_013301565,0.36342,pos,0.36342,0,0
Agathobacter rectalis GCA_013303775,Bariatricus comes GCA_013301565,0.32938,pos,0.32938,0,0
Agathobacter rectalis GCA_015557515,Bariatricus comes GCA_013301565,0.38937,pos,0.38937,0,0
Agathobacter rectalis GCA_018784685,Bariatricus comes GCA_013301565,0.37109,pos,0.37109,0,0
Agathobacter rectalis TM10-3,Bariatricus comes GCA_013301565,0.36119,pos,0.36119,0,0
Agathobacter sp. 20427_4_23,Bariatricus comes GCA_013301565,0.40514,pos,0.40514,0,0
Anaerobutyricum hallii GCA_018140635,Blautia_A wexlerae GCA_009881395,0.4826,pos,0.4826,0,0
Acetatifactor intestinalis AF22-6AC,Butyribacter intestini AF81-08TA,0.52626,pos,0.52626,0,0
Acetatifactor sp. AF34-10BH,Butyribacter intestini AF81-08TA,0.54213,pos,0.54213,0,0
Acetatifactor sp. AF46-12NS,Butyribacter intestini AF81-08TA,0.34426,pos,0.34426,0,0
Acetatifactor sp. TM11-1A,Butyribacter intestini AF81-08TA,0.53127,pos,0.53127,0,0
Agathobacter faecis 21673_4_84,Butyribacter intestini AF81-08TA,0.45966,pos,0.45966,0,0
Agathobacter faecis GCA_001405615,Butyribacter intestini AF81-08TA,0.49835,pos,0.49835,0,0
Agathobacter faecis GCA_015550045,Butyribacter intestini AF81-08TA,0.50743,pos,0.50743,0,0
Agathobacter rectalis AF17-27,Butyribacter intestini AF81-08TA,0.41458,pos,0.41458,0,0
Agathobacter rectalis GCA_001406835,Butyribacter intestini AF81-08TA,0.36401,pos,0.36401,0,0
Agathobacter rectalis GCA_015557515,Butyribacter intestini AF81-08TA,0.3901,pos,0.3901,0,0
Agathobacter rectalis GCA_018784685,Butyribacter intestini AF81-08TA,0.37807,pos,0.37807,0,0
Agathobacter rectalis TM10-3,Butyribacter intestini AF81-08TA,0.38596,pos,0.38596,0,0
Agathobacter sp. 20427_4_23,Butyribacter intestini AF81-08TA,0.48092,pos,0.48092,0,0
Bariatricus comes GCA_013301565,Butyribacter intestini AF81-08TA,0.40963,pos,0.40963,0,0
Acetatifactor intestinalis AF22-6AC,Butyribacter sp. AM49-4BH,0.60663,pos,0.60663,0,0
Acetatifactor sp. AF34-10BH,Butyribacter sp. AM49-4BH,0.55773,pos,0.55773,0,0
Acetatifactor sp. AF46-12NS,Butyribacter sp. AM49-4BH,0.43853,pos,0.43853,0,0
Acetatifactor sp. TM11-1A,Butyribacter sp. AM49-4BH,0.60031,pos,0.60031,0,0
Agathobacter faecis 21673_4_84,Butyribacter sp. AM49-4BH,0.49796,pos,0.49796,0,0
Agathobacter faecis GCA_001405615,Butyribacter sp. AM49-4BH,0.5184,pos,0.5184,0,0
Agathobacter faecis GCA_015550045,Butyribacter sp. AM49-4BH,0.50663,pos,0.50663,0,0
Agathobacter rectalis AF17-27,Butyribacter sp. AM49-4BH,0.42192,pos,0.42192,0,0
Agathobacter rectalis GCA_001406835,Butyribacter sp. AM49-4BH,0.34975,pos,0.34975,0,0
Agathobacter rectalis GCA_015557515,Butyribacter sp. AM49-4BH,0.35443,pos,0.35443,0,0
Agathobacter rectalis GCA_018784685,Butyribacter sp. AM49-4BH,0.38085,pos,0.38085,0,0
Agathobacter rectalis TM10-3,Butyribacter sp. AM49-4BH,0.32989,pos,0.32989,0,0
Agathobacter sp. 20427_4_23,Butyribacter sp. AM49-4BH,0.51318,pos,0.51318,0,0
Bariatricus comes GCA_013301565,Butyribacter sp. AM49-4BH,0.36525,pos,0.36525,0,0
Butyribacter intestini AF81-08TA,Butyribacter sp. AM49-4BH,0.6142,pos,0.6142,0,0
Acetatifactor intestinalis AF22-6AC,Butyribacter sp. AM53-13BH,0.61269,pos,0.61269,0,0
Acetatifactor sp. AF34-10BH,Butyribacter sp. AM53-13BH,0.53056,pos,0.53056,0,0
Acetatifactor sp. AF46-12NS,Butyribacter sp. AM53-13BH,0.45279,pos,0.45279,0,0
Acetatifactor sp. TM11-1A,Butyribacter sp. AM53-13BH,0.57686,pos,0.57686,0,0
Agathobacter faecis 21673_4_84,Butyribacter sp. AM53-13BH,0.44452,pos,0.44452,0,0
Agathobacter faecis GCA_001405615,Butyribacter sp. AM53-13BH,0.44328,pos,0.44328,0,0
Agathobacter faecis GCA_015550045,Butyribacter sp. AM53-13BH,0.43263,pos,0.43263,0,0
Agathobacter rectalis AF17-27,Butyribacter sp. AM53-13BH,0.4101,pos,0.4101,0,0
Agathobacter rectalis GCA_001406835,Butyribacter sp. AM53-13BH,0.3399,pos,0.3399,0,0
Agathobacter rectalis GCA_015557515,Butyribacter sp. AM53-13BH,0.35568,pos,0.35568,0,0
Agathobacter rectalis GCA_018784685,Butyribacter sp. AM53-13BH,0.37006,pos,0.37006,0,0
Agathobacter rectalis TM10-3,Butyribacter sp. AM53-13BH,0.33497,pos,0.33497,0,0
Agathobacter sp. 20427_4_23,Butyribacter sp. AM53-13BH,0.49767,pos,0.49767,0,0
Bariatricus comes GCA_013301565,Butyribacter sp. AM53-13BH,0.36682,pos,0.36682,0,0
Butyribacter intestini AF81-08TA,Butyribacter sp. AM53-13BH,0.57289,pos,0.57289,0,0
Butyribacter sp. AM49-4BH,Butyribacter sp. AM53-13BH,0.85359,pos,0.85359,0,0
Acetatifactor intestinalis AF22-6AC,Choladocola sp. 21673_4_3,0.49529,pos,0.49529,0,0
Acetatifactor sp. AF34-10BH,Choladocola sp. 21673_4_3,0.53,pos,0.53,0,0
Acetatifactor sp. AF46-12NS,Choladocola sp. 21673_4_3,0.36228,pos,0.36228,0,0
Acetatifactor sp. TM11-1A,Choladocola sp. 21673_4_3,0.56832,pos,0.56832,0,0
Agathobacter faecis 21673_4_84,Choladocola sp. 21673_4_3,0.35579,pos,0.35579,0,0
Agathobacter faecis GCA_001405615,Choladocola sp. 21673_4_3,0.40345,pos,0.40345,0,0
Agathobacter faecis GCA_015550045,Choladocola sp. 21673_4_3,0.39325,pos,0.39325,0,0
Agathobacter rectalis AF17-27,Choladocola sp. 21673_4_3,0.44752,pos,0.44752,0,0
Agathobacter rectalis GCA_001406835,Choladocola sp. 21673_4_3,0.40976,pos,0.40976,0,0
Agathobacter rectalis GCA_015557515,Choladocola sp. 21673_4_3,0.42843,pos,0.42843,0,0
Agathobacter rectalis GCA_018784685,Choladocola sp. 21673_4_3,0.43841,pos,0.43841,0,0
Agathobacter rectalis TM10-3,Choladocola sp. 21673_4_3,0.3908,pos,0.3908,0,0
Agathobacter sp. 20427_4_23,Choladocola sp. 21673_4_3,0.47172,pos,0.47172,0,0
Bariatricus comes GCA_013301565,Choladocola sp. 21673_4_3,0.44575,pos,0.44575,0,0
Butyribacter intestini AF81-08TA,Choladocola sp. 21673_4_3,0.44497,pos,0.44497,0,0
Butyribacter sp. AM49-4BH,Choladocola sp. 21673_4_3,0.50718,pos,0.50718,0,0
Butyribacter sp. AM53-13BH,Choladocola sp. 21673_4_3,0.46746,pos,0.46746,0,0
Acetatifactor intestinalis AF22-6AC,Choladocola sp. OM08-6BH,0.49631,pos,0.49631,0,0
Acetatifactor sp. AF34-10BH,Choladocola sp. OM08-6BH,0.38763,pos,0.38763,0,0
Acetatifactor sp. AF46-12NS,Choladocola sp. OM08-6BH,0.40313,pos,0.40313,0,0
Acetatifactor sp. TM11-1A,Choladocola sp. OM08-6BH,0.4545,pos,0.4545,0,0
Agathobacter faecis 21673_4_84,Choladocola sp. OM08-6BH,0.35283,pos,0.35283,0,0
Agathobacter faecis GCA_001405615,Choladocola sp. OM08-6BH,0.38531,pos,0.38531,0,0
Agathobacter faecis GCA_015550045,Choladocola sp. OM08-6BH,0.35821,pos,0.35821,0,0
Agathobacter rectalis AF17-27,Choladocola sp. OM08-6BH,0.50699,pos,0.50699,0,0
Agathobacter rectalis GCA_001406835,Choladocola sp. OM08-6BH,0.49919,pos,0.49919,0,0
Agathobacter rectalis GCA_013303775,Choladocola sp. OM08-6BH,0.36435,pos,0.36435,0,0
Agathobacter rectalis GCA_015557515,Choladocola sp. OM08-6BH,0.47568,pos,0.47568,0,0
Agathobacter rectalis GCA_018784685,Choladocola sp. OM08-6BH,0.45447,pos,0.45447,0,0
Agathobacter rectalis TM10-3,Choladocola sp. OM08-6BH,0.47762,pos,0.47762,0,0
Agathobacter sp. 20427_4_23,Choladocola sp. OM08-6BH,0.41724,pos,0.41724,0,0
Anaerobutyricum hallii GCA_018140635,Choladocola sp. OM08-6BH,0.35619,pos,0.35619,0,0
Bariatricus comes GCA_013301565,Choladocola sp. OM08-6BH,0.36044,pos,0.36044,0,0
Blautia_A wexlerae GCA_009881395,Choladocola sp. OM08-6BH,0.31883,pos,0.31883,0,0
Butyribacter intestini AF81-08TA,Choladocola sp. OM08-6BH,0.41649,pos,0.41649,0,0
Butyribacter sp. AM49-4BH,Choladocola sp. OM08-6BH,0.53038,pos,0.53038,0,0
Butyribacter sp. AM53-13BH,Choladocola sp. OM08-6BH,0.47221,pos,0.47221,0,0
Choladocola sp. 21673_4_3,Choladocola sp. OM08-6BH,0.62215,pos,0.62215,0,0
Acetatifactor intestinalis AF22-6AC,Clostridium_Q fessum AF27-5AA,0.39733,pos,0.39733,0,0
Acetatifactor sp. AF34-10BH,Clostridium_Q fessum AF27-5AA,0.33322,pos,0.33322,0,0
Acetatifactor sp. TM11-1A,Clostridium_Q fessum AF27-5AA,0.37976,pos,0.37976,0,0
Agathobacter faecis GCA_015550045,Clostridium_Q fessum AF27-5AA,0.33301,pos,0.33301,0,0
Agathobacter rectalis AF17-27,Clostridium_Q fessum AF27-5AA,0.37812,pos,0.37812,0,0
Agathobacter rectalis GCA_001406835,Clostridium_Q fessum AF27-5AA,0.36197,pos,0.36197,0,0
Agathobacter rectalis GCA_015557515,Clostridium_Q fessum AF27-5AA,0.36904,pos,0.36904,0,0
Agathobacter rectalis GCA_018784685,Clostridium_Q fessum AF27-5AA,0.36753,pos,0.36753,0,0
Agathobacter rectalis TM10-3,Clostridium_Q fessum AF27-5AA,0.32004,pos,0.32004,0,0
Agathobacter sp. 20427_4_23,Clostridium_Q fessum AF27-5AA,0.42218,pos,0.42218,0,0
Butyribacter intestini AF81-08TA,Clostridium_Q fessum AF27-5AA,0.4128,pos,0.4128,0,0
Butyribacter sp. AM49-4BH,Clostridium_Q fessum AF27-5AA,0.41756,pos,0.41756,0,0
Butyribacter sp. AM53-13BH,Clostridium_Q fessum AF27-5AA,0.41349,pos,0.41349,0,0
Choladocola sp. 21673_4_3,Clostridium_Q fessum AF27-5AA,0.44493,pos,0.44493,0,0
Choladocola sp. OM08-6BH,Clostridium_Q fessum AF27-5AA,0.4323,pos,0.4323,0,0
Clostridium_Q symbiosum AM39-1BH,Clostridium_Q symbiosum OF01-1AC,0.80618,pos,0.80618,0,0
Acetatifactor intestinalis AF22-6AC,Eisenbergiella sp. 14207_7_45,0.45138,pos,0.45138,0,0
Acetatifactor sp. AF34-10BH,Eisenbergiella sp. 14207_7_45,0.38012,pos,0.38012,0,0
Acetatifactor sp. AF46-12NS,Eisenbergiella sp. 14207_7_45,0.41931,pos,0.41931,0,0
Acetatifactor sp. TM11-1A,Eisenbergiella sp. 14207_7_45,0.4254,pos,0.4254,0,0
Agathobacter faecis 21673_4_84,Eisenbergiella sp. 14207_7_45,0.41041,pos,0.41041,0,0
Agathobacter faecis GCA_001405615,Eisenbergiella sp. 14207_7_45,0.45339,pos,0.45339,0,0
Agathobacter faecis GCA_015550045,Eisenbergiella sp. 14207_7_45,0.39408,pos,0.39408,0,0
Agathobacter rectalis AF17-27,Eisenbergiella sp. 14207_7_45,0.43187,pos,0.43187,0,0
Agathobacter rectalis GCA_001406835,Eisenbergiella sp. 14207_7_45,0.38303,pos,0.38303,0,0
Agathobacter rectalis GCA_015557515,Eisenbergiella sp. 14207_7_45,0.36979,pos,0.36979,0,0
Agathobacter rectalis GCA_018784685,Eisenbergiella sp. 14207_7_45,0.39371,pos,0.39371,0,0
Agathobacter rectalis TM10-3,Eisenbergiella sp. 14207_7_45,0.35611,pos,0.35611,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. 14207_7_45,0.38344,pos,0.38344,0,0
Bariatricus comes GCA_013301565,Eisenbergiella sp. 14207_7_45,0.32592,pos,0.32592,0,0
Butyribacter intestini AF81-08TA,Eisenbergiella sp. 14207_7_45,0.33944,pos,0.33944,0,0
Butyribacter sp. AM49-4BH,Eisenbergiella sp. 14207_7_45,0.51324,pos,0.51324,0,0
Butyribacter sp. AM53-13BH,Eisenbergiella sp. 14207_7_45,0.44059,pos,0.44059,0,0
Choladocola sp. 21673_4_3,Eisenbergiella sp. 14207_7_45,0.48294,pos,0.48294,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. 14207_7_45,0.56286,pos,0.56286,0,0
Clostridium_Q fessum AF27-5AA,Eisenbergiella sp. 14207_7_45,0.37097,pos,0.37097,0,0
Agathobacter rectalis AF17-27,Eisenbergiella sp. 18048_1_69,0.34829,pos,0.34829,0,0
Agathobacter rectalis GCA_001406835,Eisenbergiella sp. 18048_1_69,0.30168,pos,0.30168,0,0
Agathobacter rectalis GCA_013303775,Eisenbergiella sp. 18048_1_69,0.30126,pos,0.30126,0,0
Agathobacter rectalis GCA_018784685,Eisenbergiella sp. 18048_1_69,0.3158,pos,0.3158,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. 18048_1_69,0.30895,pos,0.30895,0,0
Bariatricus comes GCA_013301565,Eisenbergiella sp. 18048_1_69,0.37021,pos,0.37021,0,0
Choladocola sp. 21673_4_3,Eisenbergiella sp. 18048_1_69,0.34493,pos,0.34493,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. 18048_1_69,0.38255,pos,0.38255,0,0
Eisenbergiella sp. 14207_7_45,Eisenbergiella sp. 18048_1_69,0.59669,pos,0.59669,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. 18048_2_69,0.30739,pos,0.30739,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. 18048_2_69,0.31485,pos,0.31485,0,0
Eisenbergiella sp. 14207_7_45,Eisenbergiella sp. 18048_2_69,0.60335,pos,0.60335,0,0
Eisenbergiella sp. 18048_1_69,Eisenbergiella sp. 18048_2_69,0.71298,pos,0.71298,0,0
Acetatifactor intestinalis AF22-6AC,Eisenbergiella sp. AF16-15,0.47948,pos,0.47948,0,0
Acetatifactor sp. AF34-10BH,Eisenbergiella sp. AF16-15,0.43348,pos,0.43348,0,0
Acetatifactor sp. AF46-12NS,Eisenbergiella sp. AF16-15,0.35471,pos,0.35471,0,0
Acetatifactor sp. TM11-1A,Eisenbergiella sp. AF16-15,0.46433,pos,0.46433,0,0
Agathobacter faecis 21673_4_84,Eisenbergiella sp. AF16-15,0.40168,pos,0.40168,0,0
Agathobacter faecis GCA_001405615,Eisenbergiella sp. AF16-15,0.45115,pos,0.45115,0,0
Agathobacter faecis GCA_015550045,Eisenbergiella sp. AF16-15,0.4001,pos,0.4001,0,0
Agathobacter rectalis AF17-27,Eisenbergiella sp. AF16-15,0.46004,pos,0.46004,0,0
Agathobacter rectalis GCA_001406835,Eisenbergiella sp. AF16-15,0.4338,pos,0.4338,0,0
Agathobacter rectalis GCA_013303775,Eisenbergiella sp. AF16-15,0.31044,pos,0.31044,0,0
Agathobacter rectalis GCA_015557515,Eisenbergiella sp. AF16-15,0.39795,pos,0.39795,0,0
Agathobacter rectalis GCA_018784685,Eisenbergiella sp. AF16-15,0.43072,pos,0.43072,0,0
Agathobacter rectalis TM10-3,Eisenbergiella sp. AF16-15,0.38797,pos,0.38797,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. AF16-15,0.44915,pos,0.44915,0,0
Bariatricus comes GCA_013301565,Eisenbergiella sp. AF16-15,0.37641,pos,0.37641,0,0
Butyribacter intestini AF81-08TA,Eisenbergiella sp. AF16-15,0.39294,pos,0.39294,0,0
Butyribacter sp. AM49-4BH,Eisenbergiella sp. AF16-15,0.49434,pos,0.49434,0,0
Butyribacter sp. AM53-13BH,Eisenbergiella sp. AF16-15,0.43056,pos,0.43056,0,0
Choladocola sp. 21673_4_3,Eisenbergiella sp. AF16-15,0.48665,pos,0.48665,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. AF16-15,0.54403,pos,0.54403,0,0
Clostridium_Q fessum AF27-5AA,Eisenbergiella sp. AF16-15,0.38617,pos,0.38617,0,0
Eisenbergiella sp. 14207_7_45,Eisenbergiella sp. AF16-15,0.86653,pos,0.86653,0,0
Eisenbergiella sp. 18048_1_69,Eisenbergiella sp. AF16-15,0.61087,pos,0.61087,0,0
Eisenbergiella sp. 18048_2_69,Eisenbergiella sp. AF16-15,0.60125,pos,0.60125,0,0
Acetatifactor intestinalis AF22-6AC,Eisenbergiella sp. AF36-19BH,0.48848,pos,0.48848,0,0
Acetatifactor sp. AF34-10BH,Eisenbergiella sp. AF36-19BH,0.42079,pos,0.42079,0,0
Acetatifactor sp. AF46-12NS,Eisenbergiella sp. AF36-19BH,0.38499,pos,0.38499,0,0
Acetatifactor sp. TM11-1A,Eisenbergiella sp. AF36-19BH,0.46264,pos,0.46264,0,0
Agathobacter faecis 21673_4_84,Eisenbergiella sp. AF36-19BH,0.39537,pos,0.39537,0,0
Agathobacter faecis GCA_001405615,Eisenbergiella sp. AF36-19BH,0.43605,pos,0.43605,0,0
Agathobacter faecis GCA_015550045,Eisenbergiella sp. AF36-19BH,0.40318,pos,0.40318,0,0
Agathobacter rectalis AF17-27,Eisenbergiella sp. AF36-19BH,0.42159,pos,0.42159,0,0
Agathobacter rectalis GCA_001406835,Eisenbergiella sp. AF36-19BH,0.38359,pos,0.38359,0,0
Agathobacter rectalis GCA_015557515,Eisenbergiella sp. AF36-19BH,0.37692,pos,0.37692,0,0
Agathobacter rectalis GCA_018784685,Eisenbergiella sp. AF36-19BH,0.39468,pos,0.39468,0,0
Agathobacter rectalis TM10-3,Eisenbergiella sp. AF36-19BH,0.37851,pos,0.37851,0,0
Agathobacter sp. 20427_4_23,Eisenbergiella sp. AF36-19BH,0.42793,pos,0.42793,0,0
Bariatricus comes GCA_013301565,Eisenbergiella sp. AF36-19BH,0.32803,pos,0.32803,0,0
Butyribacter intestini AF81-08TA,Eisenbergiella sp. AF36-19BH,0.35827,pos,0.35827,0,0
Butyribacter sp. AM49-4BH,Eisenbergiella sp. AF36-19BH,0.52564,pos,0.52564,0,0
Butyribacter sp. AM53-13BH,Eisenbergiella sp. AF36-19BH,0.44576,pos,0.44576,0,0
Choladocola sp. 21673_4_3,Eisenbergiella sp. AF36-19BH,0.46564,pos,0.46564,0,0
Choladocola sp. OM08-6BH,Eisenbergiella sp. AF36-19BH,0.56032,pos,0.56032,0,0
Clostridium_Q fessum AF27-5AA,Eisenbergiella sp. AF36-19BH,0.4279,pos,0.4279,0,0
Eisenbergiella sp. 14207_7_45,Eisenbergiella sp. AF36-19BH,0.88154,pos,0.88154,0,0
Eisenbergiella sp. 18048_1_69,Eisenbergiella sp. AF36-19BH,0.56965,pos,0.56965,0,0
Eisenbergiella sp. 18048_2_69,Eisenbergiella sp. AF36-19BH,0.59425,pos,0.59425,0,0
