genome,species,sample,group,abundance,rank
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017516,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017517,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017518,control,6.45E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017519,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017520,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017521,control,8.17E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017522,control,0.000334985,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017523,control,6.39E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017524,control,4.90E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017525,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017526,control,4.88E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017527,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017528,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017529,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017530,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017531,control,0.000272532,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017532,control,1.79E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017533,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017534,control,1.78E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017535,control,0.000400106,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017536,control,0.002052738,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017537,control,0.000137685,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017538,control,0.000398549,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017539,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017540,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017541,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017542,control,0.000285871,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017543,control,0.000294045,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017544,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017545,control,0.000674845,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017546,control,0.000204596,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017547,control,5.65E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017548,control,7.83E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017549,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017550,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017551,control,0.000232878,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017552,control,7.01E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017553,control,0.003170637,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017554,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017555,control,0.000619379,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017556,control,5.22E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017557,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017558,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017559,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017560,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017561,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017562,control,0.000332187,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017563,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017564,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017565,control,0.000168474,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017566,control,2.98E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017567,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017568,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017569,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017570,control,0.001042752,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017571,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017572,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017573,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017574,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017575,control,6.25E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017576,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017577,control,0.000527146,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017578,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017579,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017580,control,0.000304261,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017581,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017584,control,9.13E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017586,control,0.000516873,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017587,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017588,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017589,control,0.005383977,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017590,control,0.001625977,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017591,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017592,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017593,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017594,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017595,control,0.001690274,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017596,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017597,control,0.000576382,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017598,ACVD,0.001797086,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017599,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017600,ACVD,0.000304577,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017601,ACVD,0.000870333,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017602,ACVD,0.000495067,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017603,ACVD,0.00076093,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017604,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017605,ACVD,0.000672693,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017606,ACVD,0.025597486,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017607,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017608,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017609,ACVD,0.000233722,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017610,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017611,ACVD,0.007289082,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017612,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017613,ACVD,0.006911438,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017614,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017615,ACVD,0.010128627,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017616,ACVD,0.000685911,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017617,ACVD,0.014002828,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017618,ACVD,0.000439194,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017619,ACVD,3.61E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017620,ACVD,0.00179452,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017621,ACVD,2.72E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017622,ACVD,0.000254964,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017623,ACVD,0.000585597,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017624,ACVD,0.000816899,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017625,ACVD,0.000129254,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017626,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017627,ACVD,0.002356618,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017628,ACVD,0.00125607,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017629,ACVD,0.000450145,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017630,ACVD,3.13E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017631,ACVD,0.001261847,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017632,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017633,ACVD,0.00079705,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017634,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017635,ACVD,0.000294785,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017636,ACVD,0.00134336,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017637,ACVD,0.009987638,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017638,ACVD,5.93E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017639,ACVD,0.002476725,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017640,ACVD,0.001125384,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017641,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017642,ACVD,0.000781934,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017643,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017644,ACVD,0.000423664,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017645,ACVD,0.000304132,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017646,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017647,ACVD,0.00036689,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017648,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017649,ACVD,2.39E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017650,ACVD,0.003894137,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017651,ACVD,0.001719044,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017652,ACVD,0.001311734,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017653,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017654,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017655,ACVD,4.61E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017656,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017657,ACVD,0.000125848,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017658,ACVD,8.42E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017659,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017660,ACVD,6.23E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017661,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017662,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017663,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017664,ACVD,0.000228741,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017665,ACVD,0.00027884,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017666,ACVD,0.000127634,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017667,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017668,ACVD,0.000298522,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017669,ACVD,0.023121051,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017670,ACVD,0.000815733,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017671,ACVD,3.97E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017672,ACVD,0.000935718,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017673,ACVD,0.000178827,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017674,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017675,ACVD,0.00104705,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017676,ACVD,0.000322985,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017677,ACVD,0.001096534,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017678,ACVD,0.000304579,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017679,ACVD,0.003221536,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017680,ACVD,0.000233562,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017681,ACVD,9.60E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017682,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017683,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017684,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017685,ACVD,0.00012743,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017686,ACVD,0.000979541,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017687,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017688,ACVD,0.000854374,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017689,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017690,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017691,ACVD,0.000178126,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017692,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017693,ACVD,0.00498954,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017694,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017695,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017696,ACVD,0.000141425,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017697,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017698,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017699,ACVD,0.000182129,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017700,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017701,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017702,ACVD,0.000463403,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017703,ACVD,0.000270758,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017704,ACVD,0.000635646,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017705,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017706,ACVD,0.000846283,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017707,ACVD,0.000216846,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017708,ACVD,0.000222043,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017709,ACVD,0.000155659,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017710,ACVD,0.000126588,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017711,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017712,ACVD,6.31E-06,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017713,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017714,ACVD,8.09E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017715,ACVD,0.000251193,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017716,ACVD,0.000503806,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017717,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017718,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017719,ACVD,6.78E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017720,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017721,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017722,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017723,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017724,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017725,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017726,ACVD,0.000766652,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017727,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017728,ACVD,0.000347824,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017729,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017730,ACVD,0.000181067,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017731,ACVD,7.14E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017732,ACVD,0.002613459,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017733,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017734,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017735,ACVD,0.000467592,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017736,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017737,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017738,ACVD,0.000997008,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017739,ACVD,9.52E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017740,ACVD,0.000680357,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017741,ACVD,9.80E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017742,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017743,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017744,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017745,ACVD,0.001070481,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017746,ACVD,0.000287042,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017747,ACVD,0.000334065,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017748,ACVD,0.000310554,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017749,ACVD,0.000126088,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017750,ACVD,0.000135431,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017751,ACVD,5.39E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017752,ACVD,0.000534174,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017753,ACVD,0.000141635,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017754,ACVD,0.000223279,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017755,ACVD,7.58E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017756,ACVD,0.001389558,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017757,ACVD,0.000203419,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017759,ACVD,0.003633863,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017760,ACVD,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017761,ACVD,7.63E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017762,ACVD,1.18E-05,1
