Pairs,ANI,16S,group,Pairs,cluster
GCA_013302685+10,78.5818,95.848,N,GCA_013302685.fna,27
GCA_013302715+10,78.7839,96.361,N,GCA_013302715.fna,27
GCA_013302745+10,78.7829,96.237,N,GCA_013302745.fna,27
GCA_013302755+10,78.6304,94.693,N,GCA_013302755.fna,27
GCA_013302785+10,78.6014,96.211,N,GCA_013302785.fna,27
GCA_013302795+10,78.6653,94.448,N,GCA_013302795.fna,27
GCA_013302815+10,78.5189,92.765,N,GCA_013302815.fna,27
GCA_013302845+10,78.4423,94.685,N,GCA_013302845.fna,27
GCA_013302855+10,78.5848,96.965,N,GCA_013302855.fna,27
GCA_013303175+10,78.601,92.765,N,GCA_013303175.fna,27
GCA_013303185+10,78.7928,94.376,N,GCA_013303185.fna,27
GCA_013303225+10,78.7455,94.593,N,GCA_013303225.fna,27
GCA_013304505+10,78.8616,94.448,N,GCA_013304505.fna,27
GCA_013304555+10,78.4661,94.593,N,GCA_013304555.fna,27
GCA_015554695+10,78.3284,96.107,N,GCA_015554695.fna,27
GCA_016586355+10,100,99.71,A,GCA_016586355.fna,285
GCF_000154545+10,78.6215,94.376,N,GCF_000154545.fna,27
AF04-45+11,98.3688,99.794,A,AF04-45.fna,5
AM21-16+11,92.045,98.878,ANIl,AM21-16.fna,10
AM75-12pH10A+11,92.0602,97.388,N,AM75-12pH10A.fna,10
OF05-1+11,91.9539,97.32,N,OF05-1.fna,10
OF40-10pH9A+11,92.081,98.844,ANIl,OF40-10pH9A.fna,10
OM13-19BHA+11,98.5567,99.725,A,OM13-19BHA.fna,5
11861_6_64+11,98.3041,99.588,A,11861_6_64.fna,5
1232447.3+11,92.0663,97.388,N,1232447.3.fna,10
14207_6_11+11,92.1518,97.388,N,14207_6_11.fna,10
15841_8_85+11,98.4303,99.588,A,15841_8_85.fna,5
18048_1_42+11,98.4402,99.588,A,18048_1_42.fna,5
8080_1_70+11,98.5737,99.794,A,8080_1_70.fna,5
GCA_000185825+11,98.3373,99.794,A,GCA_000185825.fna,5
GCA_002270485+11,92.0078,97.388,N,GCA_002270485.fna,10
GCA_005280655+11,82.6992,97.18,N,GCA_005280655.fna,243
GCA_014131675+11,100,99.588,A,GCA_014131675.fna,5
GCA_014290215+11,92.0448,97.388,N,GCA_014290215.fna,10
GCA_014467075+11,99.9967,99.588,A,GCA_014467075.fna,5
GCA_900624715+11,98.6129,99.45,A,GCA_900624715.fna,5
GCF_000154305+11,99.9921,99.656,A,GCF_000154305.fna,5
AF12-30+12,88.5887,99.072,ANIl,AF12-30.fna,188
AM100_B11A+12,97.9871,99.072,N,AM100_B11A.fna,27
AM10-38+12,98.1361,99.77,N,AM10-38.fna,27
AM21-21+12,98.2741,99.886,N,AM21-21.fna,27
AM23-7LB+12,98.2422,98.94,N,AM23-7LB.fna,27
AM25-27+12,98.4361,99.006,N,AM25-27.fna,27
AM26-1LB+12,97.9619,98.94,N,AM26-1LB.fna,27
OM02-26+12,98.1296,98.873,N,OM02-26.fna,27
TF10-8AT+12,98.1982,99.714,N,TF10-8AT.fna,27
13154_4_45+12,99.9214,99.075,N,13154_4_45.fna,27
13670_3_12+12,98.124,99.009,N,13670_3_12.fna,27
14207_7_32+12,88.2634,99.599,ANIl,14207_7_32.fna,45
GCA_000185525+12,98.1571,99.009,N,GCA_000185525.fna,27
GCA_000210695+12,98.1434,98.943,N,GCA_000210695.fna,27
GCA_000332875+12,100,99.898,N,GCA_000332875.fna,27
GCA_000876135+12,98.3564,99.009,N,GCA_000876135.fna,27
GCA_001404655+12,88.853,98.943,ANIl,GCA_001404655.fna,188
GCA_001404835+12,98.0147,98.877,N,GCA_001404835.fna,27
GCA_001404955+12,98.1876,83.344,N,GCA_001404955.fna,27
GCA_001405635+12,98.0978,99.009,N,GCA_001405635.fna,27
GCA_001405715+12,98.2961,98.877,N,GCA_001405715.fna,27
GCA_001940315+12,79.4251,96.382,N,GCA_001940315.fna,198
GCA_001998765+12,98.0352,98.811,N,GCA_001998765.fna,27
GCA_008416325+12,98.2412,99.711,N,GCA_008416325.fna,27
GCA_013302355+12,98.385,97.59,N,GCA_013302355.fna,27
GCA_013302445+12,98.3319,98.274,N,GCA_013302445.fna,27
GCA_013302455+12,98.3339,98.393,N,GCA_013302455.fna,27
GCA_013302465+12,98.229,99.919,N,GCA_013302465.fna,27
GCA_013302475+12,98.1192,97.917,N,GCA_013302475.fna,27
GCA_013302525+12,98.2129,98.641,N,GCA_013302525.fna,27
GCA_013302545+12,98.2619,98.943,N,GCA_013302545.fna,27
GCA_013302555+12,98.1984,98.682,N,GCA_013302555.fna,27
GCA_013302565+12,98.2069,98.943,N,GCA_013302565.fna,27
GCA_013302595+12,98.3647,99.844,N,GCA_013302595.fna,27
GCA_013302605+12,98.3117,97.756,N,GCA_013302605.fna,27
GCA_013302645+12,98.3977,98.943,N,GCA_013302645.fna,27
GCA_013302665+12,98.3516,98.943,N,GCA_013302665.fna,27
GCA_013302675+12,98.3357,97.917,N,GCA_013302675.fna,27
GCA_013302685+12,98.4203,99.692,N,GCA_013302685.fna,27
GCA_013302715+12,98.1641,99.864,N,GCA_013302715.fna,27
GCA_013302745+12,98.2765,99.563,N,GCA_013302745.fna,27
GCA_013302755+12,98.1646,98.536,N,GCA_013302755.fna,27
GCA_013302785+12,98.2516,99.912,N,GCA_013302785.fna,27
GCA_013302795+12,98.3114,99.141,N,GCA_013302795.fna,27
GCA_013302815+12,98.1625,97.917,N,GCA_013302815.fna,27
GCA_013302845+12,98.309,98.733,N,GCA_013302845.fna,27
GCA_013302855+12,98.2047,99.848,N,GCA_013302855.fna,27
GCA_013303175+12,98.1844,97.9,N,GCA_013303175.fna,27
GCA_013303185+12,98.127,99.075,N,GCA_013303185.fna,27
GCA_013303225+12,98.3392,98.943,N,GCA_013303225.fna,27
GCA_013304505+12,98.3117,99.009,N,GCA_013304505.fna,27
GCA_013304555+12,98.076,98.943,N,GCA_013304555.fna,27
GCA_015554695+12,98.1505,99.927,N,GCA_015554695.fna,27
GCA_016586355+12,78.5355,95.655,N,GCA_016586355.fna,285
GCF_000154545+12,98.1584,98.877,N,GCF_000154545.fna,27
AF04-45+13,82.6451,97.025,N,AF04-45.fna,5
AM21-16+13,83.9061,96.897,N,AM21-16.fna,10
AM75-12pH10A+13,84.1562,97.462,N,AM75-12pH10A.fna,10
OF05-1+13,84.2749,97.389,N,OF05-1.fna,10
OF40-10pH9A+13,83.9008,96.263,N,OF40-10pH9A.fna,10
OM13-19BHA+13,82.3837,96.952,N,OM13-19BHA.fna,5
11861_6_64+13,82.6702,96.882,N,11861_6_64.fna,5
1232447.3+13,84.2258,97.462,N,1232447.3.fna,10
14207_6_11+13,83.6305,97.462,N,14207_6_11.fna,10
15841_8_85+13,82.5556,96.882,N,15841_8_85.fna,5
18048_1_42+13,82.4186,96.882,N,18048_1_42.fna,5
8080_1_70+13,82.4585,97.025,N,8080_1_70.fna,5
GCA_000185825+13,82.3705,97.025,N,GCA_000185825.fna,5
GCA_002270485+13,84.1573,97.462,N,GCA_002270485.fna,10
GCA_005280655+13,100,99.71,A,GCA_005280655.fna,243
GCA_014131675+13,82.8414,96.882,N,GCA_014131675.fna,5
GCA_014290215+13,84.0514,97.462,N,GCA_014290215.fna,10
GCA_014467075+13,82.8585,96.882,N,GCA_014467075.fna,5
GCA_900624715+13,82.5629,96.734,N,GCA_900624715.fna,5
GCF_000154305+13,82.6435,96.882,N,GCF_000154305.fna,5
12718_7_41+14,79.4165,96.804,N,12718_7_41.fna,16
AF19-2LB+14,99.5349,99.651,A,AF19-2LB.fna,232
AM75-01pH9A+14,79.9691,96.199,N,AM75-01pH9A.fna,16
AM29-6AC+14,99.521,100,A,AM29-6AC.fna,232
GF3HA19005B+14,79.5564,96.235,N,GF3HA19005B.fna,16
GCA_002161375+14,79.7226,96.938,N,GCA_002161375.fna,212
GCA_003865035+14,100,99.935,A,GCA_003865035.fna,232
GCA_014982935+14,79.0484,98.033,N,GCA_014982935.fna,212
GCA_016901915+14,78.8773,96.871,N,GCA_016901915.fna,290
GCA_016902195+14,78.9373,96.883,N,GCA_016902195.fna,290
GCA_016902535+14,79.0042,95.674,N,GCA_016902535.fna,290
GCA_900142265+14,80.1445,96.604,N,GCA_900142265.fna,212
12718_7_41+15,92.4718,99.198,ANIl,12718_7_41.fna,16
AF19-2LB+15,80.0968,96.746,N,AF19-2LB.fna,232
AM75-01pH9A+15,92.1953,99.198,ANIl,AM75-01pH9A.fna,16
AM29-6AC+15,79.986,97.466,N,AM29-6AC.fna,232
GF3HA19005B+15,91.9396,99.394,ANIl,GF3HA19005B.fna,16
GCA_002161375+15,96.9486,99.265,A,GCA_002161375.fna,212
GCA_003865035+15,79.8361,96.136,N,GCA_003865035.fna,232
GCA_014982935+15,97.561,99.684,A,GCA_014982935.fna,212
GCA_016901915+15,81.5159,98.575,N,GCA_016901915.fna,290
GCA_016902195+15,81.4122,98.701,ANIl,GCA_016902195.fna,290
GCA_016902535+15,81.6299,97.866,N,GCA_016902535.fna,290
GCA_900142265+15,100,99.778,A,GCA_900142265.fna,212
GCA_001561955+16,81.2571,97.375,N,GCA_001561955.fna,190
GCA_001571775+16,100,98.556,Discrete,GCA_001571775.fna,191
IMG_2651869904+16,100,98.556,Discrete,IMG_2651869904.fna,191
GCA_001561955+17,100,100,A,GCA_001561955.fna,190
GCA_001571775+17,81.5112,98.794,Discrete,GCA_001571775.fna,191
IMG_2651869904+17,81.5112,98.794,Discrete,IMG_2651869904.fna,191
AF13-16+18,79.3947,95.035,N,AF13-16.fna,64
AF94-01pH10A+18,84.0023,97.967,N,AF94-01pH10A.fna,261
AM10-47+18,79.3894,95.273,N,AM10-47.fna,280
AM25-11LB+18,81.2462,96.662,N,AM25-11LB.fna,95
AM25-22+18,80.9943,96.662,N,AM25-22.fna,95
AM25-39+18,81.0723,96.662,N,AM25-39.fna,95
AM25-40+18,80.913,96.662,N,AM25-40.fna,95
AM27-24LB+18,80.5096,96.875,N,AM27-24LB.fna,95
AM75-12pH9A+18,84.0174,98.14,N,AM75-12pH9A.fna,261
OF01-4LB+18,79.2253,95.106,N,OF01-4LB.fna,64
OF42-13pH9A+18,80.886,94.957,N,OF42-13pH9A.fna,63
OM04-13BH+18,79.4395,95.74,N,OM04-13BH.fna,280
1232442.3+18,78.0252,95.371,N,1232442.3.fna,8
20298_3_35+18,81.0609,94.589,N,20298_3_35.fna,63
20298_3_48+18,78.5333,95.11,N,20298_3_48.fna,64
8080_1_72+18,77.8826,97.279,N,8080_1_72.fna,8
GCA_000209425+18,81.1257,96.875,N,GCA_000209425.fna,95
GCA_002161285+18,78.8838,94.669,N,GCA_002161285.fna,210
GCA_002161645+18,78.8707,94.915,N,GCA_002161645.fna,210
GCA_002221555+18,78.455,94.763,N,GCA_002221555.fna,192
GCA_002222595+18,80.883,96.804,N,GCA_002222595.fna,95
GCA_003287895+18,100,99.432,A,GCA_003287895.fna,223
GCA_004210255+18,78.5988,95.351,N,GCA_004210255.fna,8
GCA_004340925+18,78.4916,95.498,N,GCA_004340925.fna,8
GCA_010669205+18,78.5398,95.498,N,GCA_010669205.fna,8
GCA_013112015+18,78.2898,94.763,N,GCA_013112015.fna,192
GCA_013302155+18,81.1852,94.673,N,GCA_013302155.fna,63
GCA_013302185+18,81.1459,94.673,N,GCA_013302185.fna,63
GCA_013304335+18,81.1351,94.673,N,GCA_013304335.fna,63
GCA_013304445+18,83.2189,98.011,N,GCA_013304445.fna,261
GCA_014131715+18,78.5101,95.203,N,GCA_014131715.fna,8
GCA_014287615+18,78.7744,96.154,N,GCA_014287615.fna,64
GCA_014385405+18,79.6789,95.706,N,GCA_014385405.fna,280
GCA_900120295+18,81.1172,96.662,N,GCA_900120295.fna,328
GCA_900258535+18,78.3272,94.908,N,GCA_900258535.fna,214
GCA_900461125+18,78.8514,95.424,N,GCA_900461125.fna,8
GCF_000156675+18,80.8097,96.486,N,GCF_000156675.fna,95
AF13-16+19,85.8223,98.39,N,AF13-16.fna,64
AF94-01pH10A+19,77.9982,95.517,N,AF94-01pH10A.fna,261
OF01-4LB+19,85.6459,98.457,N,OF01-4LB.fna,64
1232442.3+19,98.6184,99.922,N,1232442.3.fna,8
20298_3_48+19,85.7383,98.125,N,20298_3_48.fna,64
8080_1_72+19,97.6353,99.899,N,8080_1_72.fna,8
GCA_000765245+19,85.5048,99.857,ANIl,GCA_000765245.fna,64
GCA_001689125+19,85.2942,97.656,N,GCA_001689125.fna,192
GCA_002221555+19,85.3145,97.589,N,GCA_002221555.fna,192
GCA_002270465+19,85.055,98.189,N,GCA_002270465.fna,214
GCA_002915535+19,85.5238,98.457,N,GCA_002915535.fna,64
GCA_003287895+19,78.4692,94.459,N,GCA_003287895.fna,223
GCA_004210255+19,97.53,99.866,N,GCA_004210255.fna,8
GCA_004340925+19,100,100,N,GCA_004340925.fna,8
GCA_010669205+19,97.9771,99.933,N,GCA_010669205.fna,8
GCA_013112015+19,85.2137,97.589,N,GCA_013112015.fna,192
GCA_013304445+19,78.4851,94.983,N,GCA_013304445.fna,261
GCA_014131715+19,97.9704,99.597,N,GCA_014131715.fna,8
GCA_014287615+19,85.5377,98.776,ANIl,GCA_014287615.fna,64
GCA_900258535+19,85.1549,97.925,N,GCA_900258535.fna,214
GCA_900461125+19,99.9519,99.866,N,GCA_900461125.fna,8
AF07-16B+20,92.5357,99.006,ANIl,AF07-16B.fna,221
AF14-40+20,81.5359,92.346,N,AF14-40.fna,187
AF19-34+20,92.5528,98.343,N,AF19-34.fna,221
AF22-5LB+20,92.2817,98.227,N,AF22-5LB.fna,221
AF25-12LB+20,92.381,98.277,N,AF25-12LB.fna,221
AF58-8b12A+20,92.2213,98.293,N,AF58-8b12A.fna,221
AF64-2-b12A+20,92.2214,98.666,N,AF64-2-b12A.fna,221
AF99-45+20,83.5137,92.442,N,AF99-45.fna,40
AM100-PB1-1D-10A+20,80.015,92.512,N,AM100-PB1-1D-10A.fna,187
AM16-16B+20,92.5142,99.005,ANIl,AM16-16B.fna,221
AM22-22LB+20,92.6288,98.227,N,AM22-22LB.fna,221
AM23-13AC+20,79.5969,92.378,N,AM23-13AC.fna,187
AM29-29+20,80.355,92.468,N,AM29-29.fna,187
AM46-3MH+20,92.4549,98.964,ANIl,AM46-3MH.fna,221
AM46-5+20,92.4853,99.026,ANIl,AM46-5.fna,221
AM54-20NE+20,92.2393,98.162,N,AM54-20NE.fna,221
AM67-4LNA+20,92.3238,98.227,N,AM67-4LNA.fna,221
OF24-11pH9A+20,82.5179,92.857,N,OF24-11pH9A.fna,327
OM06-15AC+20,79.7473,91.971,N,OM06-15AC.fna,187
OM07-19+20,82.0257,92.423,N,OM07-19.fna,72
TF06-18-r+20,92.5336,97.903,N,TF06-18-r.fna,221
TF10-30+20,79.7146,92.453,N,TF10-30.fna,187
TF11-31AT+20,92.3962,98.412,N,TF11-31AT.fna,221
TF12-12AT+20,79.7934,92.083,N,TF12-12AT.fna,187
TF12-31AT+20,79.6592,92.617,N,TF12-31AT.fna,187
13470_2_57+20,85.1423,92.685,N,13470_2_57.fna,40
18048_1_65+20,83.8459,91.079,N,18048_1_65.fna,40
GCA_003011855+20,91.8238,98.198,N,GCA_003011855.fna,221
GCA_004123145+20,100,99.869,A,GCA_004123145.fna,234
GCA_013299755+20,83.9113,92.685,N,GCA_013299755.fna,40
GCA_013299895+20,79.6018,92.383,N,GCA_013299895.fna,187
GCA_013299925+20,83.5963,92.374,N,GCA_013299925.fna,40
GCA_013300205+20,79.337,91.922,N,GCA_013300205.fna,187
GCA_013300745+20,83.8896,92.685,N,GCA_013300745.fna,40
GCA_013300805+20,83.7041,92.374,N,GCA_013300805.fna,40
GCA_013301465+20,83.9612,92.731,N,GCA_013301465.fna,40
GCA_013301475+20,83.602,94.014,N,GCA_013301475.fna,40
GCA_013301515+20,83.9884,94.014,N,GCA_013301515.fna,40
GCA_013301525+20,83.8295,93.048,N,GCA_013301525.fna,40
GCA_013305145+20,91.8735,98.746,ANIl,GCA_013305145.fna,221
GCA_014297345+20,92.3939,98.323,N,GCA_014297345.fna,221
GCA_015556185+20,83.895,92.619,N,GCA_015556185.fna,40
GCA_015557635+20,79.3241,92.122,N,GCA_015557635.fna,187
GCA_015558505+20,83.0726,92.619,N,GCA_015558505.fna,40
GCA_015560155+20,83.2997,92.619,N,GCA_015560155.fna,40
GCA_015667855+20,80.414,92.313,N,GCA_015667855.fna,187
GCA_018785585+20,92.0704,98.715,ANIl,GCA_018785585.fna,221
GCA_900066745+20,91.9089,98.303,N,GCA_900066745.fna,221
AM58-7XD+21,81.1042,96.306,N,AM58-7XD.fna,345
TF06-23+21,81.9881,96.934,N,TF06-23.fna,2
AF13-28+21,81.4126,95.329,N,AF13-28.fna,345
AF13-37+21,81.3957,95.329,N,AF13-37.fna,345
AF14-23+21,83.5925,96.437,N,AF14-23.fna,33
AF14-5+21,81.5047,95.408,N,AF14-5.fna,2
AF14-52+21,83.3233,97.255,N,AF14-52.fna,33
AF17-12+21,82.2727,96.015,N,AF17-12.fna,74
AF17-22AC+21,81.8827,96.44,N,AF17-22AC.fna,327
AF19-10LB+21,82.0971,95.886,N,AF19-10LB.fna,72
AF19-29+21,82.421,95.329,N,AF19-29.fna,2
AF20-12LB+21,81.7846,96.044,N,AF20-12LB.fna,74
AF21-24+21,82.8098,96.203,N,AF21-24.fna,33
AF21-3+21,81.2126,96.15,N,AF21-3.fna,345
AF24-10LB+21,82.7771,96.282,N,AF24-10LB.fna,33
AF24-32LB+21,81.3825,95.842,N,AF24-32LB.fna,345
AF25-21+21,83.3723,96.282,N,AF25-21.fna,33
AF25-23LB+21,82.4352,96.362,N,AF25-23LB.fna,2
AF25-28AC+21,82.3603,96.247,N,AF25-28AC.fna,2
AF29-2BH+21,83.0513,96.361,N,AF29-2BH.fna,33
AF31-16BH+21,80.9237,95.408,N,AF31-16BH.fna,345
AF31-8BH+21,85.0177,97.704,N,AF31-8BH.fna,59
AF33-11BH+21,82.7599,95.329,N,AF33-11BH.fna,2
AF34-2BH+21,81.4415,95.645,N,AF34-2BH.fna,345
AF35-14AC+21,82.9294,97.255,N,AF35-14AC.fna,33
AF37-6AC+21,81.7526,96.7,N,AF37-6AC.fna,33
AF37-6AT+21,80.6856,96.126,N,AF37-6AT.fna,345
AF39-4+21,82.3457,97.122,N,AF39-4.fna,33
AF41-9+21,83.2526,95.745,N,AF41-9.fna,359
AF42-9BH+21,81.3783,96.066,N,AF42-9BH.fna,345
AF45-4BH+21,81.5609,96.44,N,AF45-4BH.fna,327
AF46-10NS+21,82.9606,95.985,N,AF46-10NS.fna,360
AF58-2A+21,82.2856,96.437,N,AF58-2A.fna,98
AF60-20pH9A+21,83.0418,96.437,N,AF60-20pH9A.fna,98
AF61-21pH10TA+21,81.7032,95.886,N,AF61-21pH10TA.fna,74
AF76-10pH9T+21,81.4891,96.168,N,AF76-10pH9T.fna,73
AF84-09pH9TA+21,82.6087,96.437,N,AF84-09pH9TA.fna,33
AF87-14TA+21,82.0113,94.475,N,AF87-14TA.fna,72
AF98-09+21,81.6947,96.995,N,AF98-09.fna,33
AF98-17+21,81.4173,95.652,N,AF98-17.fna,74
AF98-24+21,81.4425,95.752,N,AF98-24.fna,2
AF98-36+21,81.574,96.361,N,AF98-36.fna,327
AF98-51+21,80.5584,96.204,N,AF98-51.fna,345
AF99-08+21,81.6141,96.014,N,AF99-08.fna,74
AF99-42+21,83.6446,96.361,N,AF99-42.fna,98
BF3HA18002+21,98.0709,99.668,A,BF3HA18002.fna,3
AM07-21+21,81.6816,95.645,N,AM07-21.fna,345
AM100_BB15A+21,98.7538,99.26,A,AM100_BB15A.fna,3
AM100-PB1-1D-29A+21,81.8042,95.951,N,AM100-PB1-1D-29A.fna,2
AM12-48+21,82.1066,95.255,N,AM12-48.fna,2
AM18-15+21,81.2888,95.408,N,AM18-15.fna,2
AM18-2AC+21,83.714,96.361,N,AM18-2AC.fna,33
AM18-44+21,81.5357,95.894,N,AM18-44.fna,2
AM22-13+21,81.8431,95.724,N,AM22-13.fna,345
AM22-9LB+21,82.6191,97.236,N,AM22-9LB.fna,33
AM23-1+21,81.6257,96.123,N,AM23-1.fna,74
AM23-1AC+21,81.4067,96.506,N,AM23-1AC.fna,74
AM23-1LB+21,81.949,94.78,N,AM23-1LB.fna,2
AM23-4+21,81.6294,96.498,N,AM23-4.fna,74
AM26-12LB+21,81.6884,96.062,N,AM26-12LB.fna,74
AM27-16+21,82.2935,94.854,N,AM27-16.fna,2
AM27-32LB+21,82.2399,96.358,N,AM27-32LB.fna,33
AM27-34+21,82.4351,95.883,N,AM27-34.fna,33
AM28-23+21,82.0161,96.437,N,AM28-23.fna,98
AM28-41+21,80.8904,95.724,N,AM28-41.fna,345
AM29-12LB+21,81.9131,95.091,N,AM29-12LB.fna,2
AM29-25AC+21,83.5268,96.516,N,AM29-25AC.fna,33
AM29-26+21,81.3517,95.566,N,AM29-26.fna,345
AM30-15AC+21,81.1526,95.645,N,AM30-15AC.fna,345
AM32-10AC+21,83.1077,96.516,N,AM32-10AC.fna,98
AM32-17LB+21,82.2149,96.787,N,AM32-17LB.fna,2
AM34-12+21,82.3738,96.437,N,AM34-12.fna,33
AM34-9LB+21,81.8306,96.359,N,AM34-9LB.fna,2
AM36-17+21,81.9667,95.091,N,AM36-17.fna,2
AM36-2AA+21,81.6217,96.524,N,AM36-2AA.fna,73
AM36-5+21,81.632,96.671,N,AM36-5.fna,73
AM37-4AC+21,83.2825,96.44,N,AM37-4AC.fna,33
AM39-5AC+21,82.6241,96.689,N,AM39-5AC.fna,33
AM40-10AC+21,81.903,95.417,N,AM40-10AC.fna,2
AM41-10BH+21,81.5255,95.908,N,AM41-10BH.fna,73
AM41-5+21,82.4933,96.769,N,AM41-5.fna,33
AM42-10AC+21,82.41,95.329,N,AM42-10AC.fna,2
AM42-11+21,98.0112,99.711,A,AM42-11.fna,3
AM43-41+21,81.7252,96.437,N,AM43-41.fna,98
AM44-9AT+21,81.4933,96.362,N,AM44-9AT.fna,2
AM45-2+21,81.724,95.713,N,AM45-2.fna,2
AM45-9BH+21,81.5785,95.944,N,AM45-9BH.fna,2
AM46-18+21,81.6647,95.713,N,AM46-18.fna,2
