genome,species,sample,group,abundance,rank
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VG6_P,control,0.000219408,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VGA_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VGE_P,control,9.35E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VGI_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VGK_TR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VI5,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VI7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRQC_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRQS,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRQY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRSX_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRSZ_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRT2_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRT4_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRT6_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRTA_P,control,5.43E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRTC_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRTE_P,control,3.13E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRTG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRTG_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRUR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRVA,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM6XRVC_TR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYXE,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYXG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYXI,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYXO,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYYF,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYYH,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYYP,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYYR_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYYV_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYZL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CYZR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ16,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ18,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ1C,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ1E,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ1G,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ24,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ26,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ28,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ2A,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ2E,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ2H,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ2J_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7CZ2L_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4G8,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HA,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HE,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HI,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HK,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4HY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4I7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4I9,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4IU,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4IW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4KG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4KI,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4KM,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4KO,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4LF,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4O1,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4O5,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4O7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4QZ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM7J4RE,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSMA33J1_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSMA33J7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSMA33J9,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSMA33NY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSMA33QM,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSMA33SE,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2HN,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2JF_P,control,0.000358046,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2JH_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2JT,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2K4,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2K8,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2KA,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2LW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2LY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2M3_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2PO,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2PQ_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2PW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2QJ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2QL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2RK,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2RM,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2RQ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2RU,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM6J2SI,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H52_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H58,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H5A,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H5M,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H5S,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H5U,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H6D,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H6H,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H6J,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H6L,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H6N,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H6Y,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H7W,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H85,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H89,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H8B,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H8F,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H8H,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H8J_P,control,4.57E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H8N,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H94_P,control,9.76E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79H9C,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HA1,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HA7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HBL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HCG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HCK,control,0.000147648,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HCN_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HES,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HEW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM79HFW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZF7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZFH,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZFJ_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZFN,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZFT,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZGS,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZGU,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZGW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZGY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZH7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZHL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZHP,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZHR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZHZ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZL7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZLD,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZLF,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZLH,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZMA_TR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZMC,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZME,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZMS,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZMW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZNH_TR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZOI,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZOM,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZOO,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSM9VZPT,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BB,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BD,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BF,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BH,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BJ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BN,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BT,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26BV,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26DG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMA26DK,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMAPC5H,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMAPC6M,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMAPC6O,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMAPC7P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMB4LXS,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMB4LZV,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,MSMB4LZZ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBTR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBTT,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBTX,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBTZ_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBU2,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBW1_P,control,8.03E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM6XBW3,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J156,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J15K,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J15M,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J15U,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J16U,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J16W,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J173,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J19R,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J19T,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J19X_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J19Z,control,0.000259866,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J1A4,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J1A8,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J1DF,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSM7J1DL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSMA265D,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,PSMA265J_TR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6UG73,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6X9W7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6XSKY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6Y2UU,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6Y87K,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6ZEUL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6ZEUX,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6ZJI3,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6ZKRY,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6ZT2P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-6ZUH3,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-71ZVB,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-72ZHH,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-7ED9S,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-7I1FP,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-7IWEQ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-7IWFB,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-7M8RE,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A1C88,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A2HYL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A373Q,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A3J7G,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A47RR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A4UVS,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A5A1P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A8GSK,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A8GSW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A8MJR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-A9F52,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-AAHYG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-AF6MH,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-AI38I,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-AKTYG,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,SM-ARGG8,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5FZ4A_P,UC,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5FZ4E_P,UC,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5FZ4G_P,UC,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5FZ4K_P,UC,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5MCTZ_P,UC,0.000170608,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5MCU8_P,UC,6.74E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5MCUA_P,UC,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5MCUC_P,UC,6.25E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5MCUE_P,UC,0.000181201,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM5MCUG_P,UC,6.00E-05,1
