cluster,Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,type
3,GCA_016908695,GCA_014385375,83.3,[80.5 - 85.8%],0.0195,92.83,know
3,GCA_016908695,GCA_900066165,80.4,[77.5 - 83%],0.0229,90.9,know
3,GCA_016908695,GCA_900066965,80.3,[77.3 - 82.9%],0.023,90.79,know
5,GCA_014131675,8080_1_70,86.4,[83.8 - 88.7%],0.0161,94.4,know
5,GCA_014131675,11861_6_64,85.2,[82.5 - 87.6%],0.0174,93.84,know
5,GCA_014131675,15841_8_85,86.2,[83.6 - 88.5%],0.0162,94.32,know
5,GCA_014131675,18048_1_42,86.3,[83.6 - 88.5%],0.0162,94.34,know
5,GCA_014131675,AF04-45,86.1,[83.5 - 88.4%],0.0164,94.27,know
5,GCA_014131675,GCA_000185825,85.4,[82.7 - 87.8%],0.0171,93.94,know
5,GCA_014131675,GCA_014467075,100,[100 - 100%],0,98.3,know
5,GCA_014131675,GCA_900624715,88.3,[85.9 - 90.4%],0.0139,95.2,know
5,GCA_014131675,GCF_000154305,100,[99.9 - 100%],0.0001,98.29,know
5,GCA_014131675,OM13-19BHA,87.4,[84.9 - 89.6%],0.015,94.83,know
4,GCA_001312505,11861_6_59,76.9,[73.9 - 79.7%],0.0271,87.87,know
4,GCA_001312505,18048_1_60,78,[75 - 80.7%],0.0258,88.88,know
4,GCA_001312505,18048_2_60,77.9,[75 - 80.6%],0.0258,88.83,know
4,GCA_001312505,AF12-5,77.7,[74.7 - 80.4%],0.0261,88.61,know
4,GCA_001312505,AF19-4LB,69.4,[66.4 - 72.2%],0.037,77.15,know
4,GCA_001312505,AF24-16,70,[67 - 72.9%],0.0361,78.37,know
4,GCA_001312505,AF25-3LB,78.1,[75.1 - 80.8%],0.0256,88.98,know
4,GCA_001312505,AF25-13,69.3,[66.3 - 72.2%],0.0371,77.04,know
4,GCA_001312505,AF25-17,78.2,[75.2 - 80.9%],0.0255,89.09,know
4,GCA_001312505,AF27-3,69.8,[66.8 - 72.7%],0.0363,78.05,know
4,GCA_001312505,AF27-11AA,69.8,[66.8 - 72.6%],0.0364,77.93,know
4,GCA_001312505,AF27-12AA,69.8,[66.8 - 72.7%],0.0363,78.03,know
4,GCA_001312505,AF31-14BH,69.5,[66.5 - 72.4%],0.0368,77.42,know
4,GCA_001312505,AF32-2AC,69,[66 - 71.8%],0.0376,76.36,know
4,GCA_001312505,AM09-18-1,69.7,[66.7 - 72.5%],0.0366,77.73,know
4,GCA_001312505,AM16-34,76.6,[73.6 - 79.4%],0.0274,87.57,know
4,GCA_001312505,AM22-14LB,69.2,[66.2 - 72.1%],0.0372,76.88,know
4,GCA_001312505,AM27-9LB,76.5,[73.5 - 79.2%],0.0276,87.39,know
4,GCA_001312505,AM27-11LB,76.5,[73.5 - 79.2%],0.0276,87.41,know
4,GCA_001312505,AM27-27,76.5,[73.5 - 79.2%],0.0276,87.39,know
4,GCA_001312505,AM29-1,69.4,[66.4 - 72.2%],0.0369,77.21,know
4,GCA_001312505,AM29-1LB,69.4,[66.4 - 72.2%],0.037,77.17,know
4,GCA_001312505,AM29-5AC,69.4,[66.4 - 72.2%],0.037,77.16,know
4,GCA_001312505,AM29-10LB,69.4,[66.5 - 72.3%],0.0369,77.3,know
4,GCA_001312505,AM29-19LB,69.4,[66.4 - 72.3%],0.0369,77.23,know
4,GCA_001312505,AM33-14,69.6,[66.6 - 72.5%],0.0366,77.64,know
4,GCA_001312505,AM41-2AC,68.5,[65.5 - 71.3%],0.0383,75.38,know
4,GCA_001312505,AM44-6,71.3,[68.3 - 74.2%],0.0343,80.62,know
4,GCA_001312505,AM49-8,70.5,[67.4 - 73.3%],0.0355,79.13,know
4,GCA_001312505,AM49-10BH,70.4,[67.4 - 73.2%],0.0356,79.02,know
4,GCA_001312505,AM57-5,70.2,[67.2 - 73.1%],0.0358,78.7,know
4,GCA_001312505,AM100_B1_31A,78.6,[75.6 - 81.3%],0.025,89.45,know
4,GCA_001312505,AM100_B33A,73.4,[70.4 - 76.2%],0.0315,83.73,know
4,GCA_001312505,BF3HA19002B,68.4,[65.4 - 71.3%],0.0383,75.27,know
4,GCA_001312505,GCA_009718305,77.6,[74.6 - 80.3%],0.0263,88.5,know
4,GCA_001312505,GCA_015668255,75.7,[72.7 - 78.4%],0.0286,86.51,know
4,GCA_001312505,GCA_015669775,76.1,[73.1 - 78.8%],0.0281,86.98,know
4,GCA_001312505,GCA_015670935,76.9,[73.9 - 79.6%],0.0271,87.79,know
4,GCA_001312505,OF05-2BH,75.6,[72.6 - 78.4%],0.0287,86.43,know
4,GCA_001312505,OM04-4AA,69.5,[66.6 - 72.4%],0.0367,77.49,know
4,GCA_001312505,OM07-7,70.2,[67.2 - 73.1%],0.0358,78.7,know
4,GCA_001312505,OM08-13AT,75.6,[72.6 - 78.4%],0.0287,86.42,know
4,GCA_001312505,SF3HA21011B,70.5,[67.4 - 73.3%],0.0355,79.13,know
4,GCA_001312505,TF08-4,69.7,[66.7 - 72.5%],0.0366,77.71,know
4,GCA_001312505,TF10-6,70.1,[67.1 - 72.9%],0.036,78.45,know
4,GCA_001312505,TF10-12AC,70.2,[67.2 - 73%],0.0359,78.6,know
6,GCA_900243045,11861_6_91,96.1,[94.7 - 97.1%],0.0054,97.46,know
6,GCA_900243045,12718_7_73,96.2,[94.9 - 97.2%],0.0052,97.48,know
6,GCA_900243045,1232457.3,86.2,[83.6 - 88.5%],0.0163,94.32,know
6,GCA_900243045,AF26-4BH,86.6,[84 - 88.8%],0.0158,94.48,know
6,GCA_900243045,AF73-11pH9TA,86.9,[84.3 - 89.1%],0.0156,94.6,know
6,GCA_900243045,GCF_000466465,86.8,[84.2 - 89%],0.0156,94.58,know
6,GCA_900243045,TF05-5AC,87.6,[85 - 89.7%],0.0148,94.9,know
8,GCA_900461125,8080_1_72,82.8,[80 - 85.3%],0.0201,92.53,know
8,GCA_900461125,1232442.3,89.8,[87.4 - 91.7%],0.0124,95.72,know
8,GCA_900461125,GCA_000373885,84.8,[82.1 - 87.2%],0.0178,93.63,know
8,GCA_900461125,GCA_004210255,80.9,[78 - 83.5%],0.0223,91.28,know
8,GCA_900461125,GCA_004340925,100,[100 - 100%],0,98.3,know
8,GCA_900461125,GCA_010669205,84.8,[82.1 - 87.2%],0.0178,93.64,know
8,GCA_900461125,GCA_014131715,84.8,[82.1 - 87.2%],0.0179,93.62,know
8,GCA_900461125,IMG_2524023161,85.4,[82.7 - 87.7%],0.0172,93.91,know
9,GCA_000158075,1232444.3,90.5,[88.3 - 92.4%],0.0115,95.98,know
9,GCA_000158075,AF04-15,98.4,[97.6 - 98.9%],0.0026,97.93,know
2,GCA_000484655,11861_6_57,80.7,[77.8 - 83.3%],0.0225,91.13,know
2,GCA_000484655,18048_1_59,81.9,[79 - 84.4%],0.0212,91.93,know
2,GCA_000484655,18048_2_59,81.9,[79 - 84.4%],0.0212,91.92,know
2,GCA_000484655,18391_1_1,83.1,[80.3 - 85.6%],0.0197,92.71,know
2,GCA_000484655,457412.4,82.7,[79.8 - 85.2%],0.0202,92.44,know
2,GCA_000484655,AF14-5,74.3,[71.3 - 77.1%],0.0304,84.85,know
2,GCA_000484655,AF19-29,78.8,[75.9 - 81.5%],0.0247,89.63,know
2,GCA_000484655,AF25-23LB,76.7,[73.7 - 79.4%],0.0273,87.62,know
2,GCA_000484655,AF25-28AC,75.7,[72.7 - 78.5%],0.0286,86.58,know
2,GCA_000484655,AF33-11BH,80,[77.1 - 82.7%],0.0233,90.62,know
2,GCA_000484655,AF98-24,81.2,[78.3 - 83.8%],0.0219,91.5,know
2,GCA_000484655,AM12-48,79.7,[76.8 - 82.4%],0.0237,90.36,know
2,GCA_000484655,AM18-15,75.5,[72.5 - 78.2%],0.0289,86.29,know
2,GCA_000484655,AM18-44,75.3,[72.3 - 78.1%],0.0291,86.09,know
2,GCA_000484655,AM23-1LB,79,[76 - 81.7%],0.0245,89.77,know
2,GCA_000484655,AM27-16,75.6,[72.6 - 78.4%],0.0287,86.47,know
2,GCA_000484655,AM29-12LB,76.6,[73.6 - 79.4%],0.0274,87.56,know
2,GCA_000484655,AM32-17LB,74.4,[71.4 - 77.2%],0.0303,84.98,know
2,GCA_000484655,AM34-9LB,78.8,[75.9 - 81.5%],0.0247,89.64,know
2,GCA_000484655,AM36-17,80.4,[77.5 - 83.1%],0.0229,90.91,know
2,GCA_000484655,AM40-10AC,76,[73 - 78.8%],0.0282,86.92,know
2,GCA_000484655,AM42-10AC,81.3,[78.4 - 83.9%],0.0218,91.56,know
2,GCA_000484655,AM44-9AT,76.4,[73.4 - 79.1%],0.0277,87.3,know
2,GCA_000484655,AM45-2,74.9,[71.9 - 77.7%],0.0296,85.62,know
2,GCA_000484655,AM45-9BH,75.3,[72.3 - 78.1%],0.0291,86.09,know
2,GCA_000484655,AM46-18,74.6,[71.6 - 77.4%],0.0299,85.29,know
2,GCA_000484655,AM50-15BH,80.5,[77.6 - 83.1%],0.0228,90.95,know
2,GCA_000484655,AM54-14NS,79.1,[76.2 - 81.8%],0.0244,89.88,know
2,GCA_000484655,AM100_B1_2A,78.4,[75.4 - 81.1%],0.0252,89.27,know
2,GCA_000484655,AM100_B18A,78.5,[75.5 - 81.1%],0.0252,89.31,know
2,GCA_000484655,AM100-PB1-1D-29A,78.4,[75.5 - 81.1%],0.0252,89.3,know
2,GCA_000484655,GCA_000424085,77.8,[74.9 - 80.6%],0.0259,88.75,know
2,GCA_000484655,GCA_001404455,82.1,[79.3 - 84.7%],0.0209,92.09,know
2,GCA_000484655,GCA_001404735,80.1,[77.2 - 82.8%],0.0232,90.68,know
2,GCA_000484655,GCA_001404755,79.9,[76.9 - 82.5%],0.0235,90.48,know
2,GCA_000484655,GCA_001404775,82.8,[80 - 85.3%],0.0201,92.5,know
2,GCA_000484655,GCA_001405455,83,[80.2 - 85.5%],0.0199,92.62,know
2,GCA_000484655,GCA_009876865,82.7,[79.9 - 85.2%],0.0202,92.46,know
2,GCA_000484655,GCA_009881235,83.1,[80.3 - 85.6%],0.0198,92.68,know
2,GCA_000484655,GCA_009881255,83.1,[80.2 - 85.6%],0.0198,92.67,know
2,GCA_000484655,GCA_009881295,83,[80.2 - 85.5%],0.0199,92.64,know
2,GCA_000484655,GCA_009881335,83,[80.2 - 85.5%],0.0198,92.66,know
2,GCA_000484655,GCA_009881345,82.9,[80 - 85.4%],0.02,92.55,know
2,GCA_000484655,GCA_009881365,83,[80.2 - 85.5%],0.0198,92.65,know
2,GCA_000484655,GCA_009881395,83.2,[80.4 - 85.7%],0.0196,92.76,know
2,GCA_000484655,GCA_009881405,83.4,[80.6 - 85.9%],0.0194,92.89,know
2,GCA_000484655,GCA_009881425,82.8,[80 - 85.3%],0.0201,92.51,know
2,GCA_000484655,GCA_009881435,83,[80.2 - 85.5%],0.0198,92.65,know
2,GCA_000484655,GCA_009881475,82.8,[80 - 85.3%],0.0201,92.51,know
2,GCA_000484655,GCA_009881535,82.8,[80 - 85.3%],0.0201,92.52,know
2,GCA_000484655,GCA_009882995,82.8,[80 - 85.3%],0.0201,92.52,know
2,GCA_000484655,GCA_009883035,82.8,[79.9 - 85.3%],0.0201,92.5,know
2,GCA_000484655,GCA_009883045,82.8,[80 - 85.3%],0.0201,92.54,know
2,GCA_000484655,GCA_009883115,82.8,[80 - 85.3%],0.0201,92.53,know
2,GCA_000484655,GCA_013299555,82.8,[79.9 - 85.3%],0.0201,92.49,know
2,GCA_000484655,GCA_013299815,75.7,[72.6 - 78.4%],0.0286,86.5,know
2,GCA_000484655,GCA_013299975,81.8,[78.9 - 84.3%],0.0213,91.86,know
2,GCA_000484655,GCA_013299995,83.4,[80.6 - 85.9%],0.0194,92.87,know
2,GCA_000484655,GCA_013300045,83.5,[80.7 - 86%],0.0193,92.91,know
2,GCA_000484655,GCA_013300455,82.8,[80 - 85.3%],0.0201,92.5,know
2,GCA_000484655,GCA_013301625,75.6,[72.6 - 78.4%],0.0287,86.5,know
2,GCA_000484655,GCA_013301645,75.9,[72.9 - 78.6%],0.0284,86.74,know
2,GCA_000484655,GCA_013301655,80.8,[77.8 - 83.4%],0.0225,91.15,know
2,GCA_000484655,GCA_013301675,75.7,[72.6 - 78.4%],0.0286,86.51,know
2,GCA_000484655,GCA_013301695,75.6,[72.6 - 78.4%],0.0287,86.49,know
2,GCA_000484655,GCA_013301725,75.4,[72.4 - 78.2%],0.0289,86.23,know
2,GCA_000484655,GCA_013301745,75.6,[72.6 - 78.4%],0.0287,86.49,know
2,GCA_000484655,GCA_013301765,75.4,[72.4 - 78.2%],0.0289,86.24,know
2,GCA_000484655,GCA_013301775,75.6,[72.6 - 78.4%],0.0287,86.48,know
2,GCA_000484655,GCA_013301825,75.7,[72.7 - 78.4%],0.0286,86.51,know
10,AM75-12pH10A,14207_6_11,91.6,[89.5 - 93.3%],0.0104,96.3,know
10,AM75-12pH10A,1232447.3,92.5,[90.5 - 94.1%],0.0094,96.56,know
10,AM75-12pH10A,AM21-16,91.2,[89 - 93%],0.0108,96.17,know
10,AM75-12pH10A,GCA_002270485,94.4,[92.7 - 95.7%],0.0073,97.06,know
10,AM75-12pH10A,GCA_014290215,93.3,[91.5 - 94.8%],0.0085,96.79,know
10,AM75-12pH10A,OF05-1,93.8,[92 - 95.3%],0.0079,96.92,know
10,AM75-12pH10A,OF40-10pH9A,91,[88.8 - 92.8%],0.0111,96.11,know
13,GCA_009663665,12718_7_51,98.2,[97.4 - 98.8%],0.0028,97.9,novel
13,GCA_009663665,1232453.3,92.7,[90.7 - 94.3%],0.0092,96.61,novel
13,GCA_009663665,AF19-21,93.3,[91.4 - 94.8%],0.0085,96.78,novel
7,GCA_900113155,11861_6_93,97.3,[96.2 - 98.1%],0.0039,97.72,know
7,GCA_900113155,12718_7_79,86.6,[84 - 88.9%],0.0158,94.5,know
7,GCA_900113155,14207_6_14,84.5,[81.7 - 86.9%],0.0182,93.47,know
7,GCA_900113155,18391_1_2,85.8,[83.2 - 88.1%],0.0167,94.13,know
7,GCA_900113155,AFF13-24A,85.4,[82.7 - 87.7%],0.0172,93.92,know
7,GCA_900113155,GCA_000234155,98,[97.1 - 98.6%],0.0031,97.86,know
7,GCA_900113155,GCA_000371405,96.9,[95.7 - 97.7%],0.0045,97.62,know
7,GCA_900113155,GCA_000371485,97.1,[96 - 97.9%],0.0041,97.68,know
7,GCA_900113155,GCA_000371505,96.3,[95 - 97.3%],0.0051,97.5,know
7,GCA_900113155,GCA_000371545,96.8,[95.6 - 97.7%],0.0045,97.61,know
7,GCA_900113155,GCA_000371565,97.1,[95.9 - 97.9%],0.0042,97.66,know
7,GCA_900113155,GCA_000371585,97.4,[96.3 - 98.1%],0.0038,97.73,know
7,GCA_900113155,GCA_000371605,97,[95.9 - 97.9%],0.0043,97.65,know
7,GCA_900113155,GCA_001078445,97.3,[96.2 - 98%],0.004,97.7,know
7,GCA_900113155,GCA_001405335,86.5,[83.9 - 88.8%],0.0159,94.45,know
7,GCA_900113155,GCA_001688665,83.7,[80.9 - 86.2%],0.0191,93.05,know
7,GCA_900113155,GCA_005844705,85.4,[82.7 - 87.7%],0.0172,93.93,know
7,GCA_900113155,GCA_006538465,96.8,[95.6 - 97.7%],0.0045,97.61,know
7,GCA_900113155,GCA_012273195,97.9,[97 - 98.5%],0.0032,97.84,know
7,GCA_900113155,GCA_013299965,97.6,[96.6 - 98.3%],0.0036,97.77,know
7,GCA_900113155,GCA_013304125,97.6,[96.6 - 98.3%],0.0036,97.77,know
7,GCA_900113155,GCA_013304155,97.6,[96.6 - 98.3%],0.0036,97.77,know
7,GCA_900113155,GCA_013304185,97.6,[96.6 - 98.3%],0.0036,97.77,know
7,GCA_900113155,GCA_013304205,97.6,[96.6 - 98.3%],0.0036,97.77,know
7,GCA_900113155,GCA_013304225,97.8,[96.8 - 98.4%],0.0034,97.81,know
7,GCA_900113155,GCA_013304245,97.6,[96.6 - 98.3%],0.0036,97.77,know
7,GCA_900113155,GCA_013304255,96.4,[95 - 97.3%],0.0051,97.51,know
7,GCA_900113155,GCA_013304275,96.9,[95.7 - 97.7%],0.0045,97.62,know
7,GCA_900113155,GCA_015548065,85.4,[82.7 - 87.7%],0.0172,93.93,know
7,GCA_900113155,GCA_015669475,86.8,[84.2 - 89%],0.0156,94.58,know
7,GCA_900113155,GCA_016696785,83.8,[81 - 86.3%],0.019,93.1,know
7,GCA_900113155,GCA_900100685,96.6,[95.3 - 97.5%],0.0048,97.56,know
7,GCA_900113155,GCA_900108895,96.6,[95.3 - 97.5%],0.0048,97.56,know
7,GCA_900113155,GCA_900447015,86.4,[83.8 - 88.7%],0.0161,94.39,know
12,GCA_001280875,8080_1_94,99.4,[99 - 99.6%],0.0012,98.14,know
12,GCA_001280875,20287_6_18,96.4,[95.1 - 97.4%],0.005,97.52,know
12,GCA_001280875,1232452.3,96.4,[95.2 - 97.4%],0.005,97.53,know
12,GCA_001280875,AF07-16,97.1,[96 - 97.9%],0.0041,97.68,know
12,GCA_001280875,AF09-21A,97.1,[96 - 97.9%],0.0042,97.67,know
12,GCA_001280875,AF14-9AC,96.9,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,AF37-1,97.1,[96 - 97.9%],0.0042,97.67,know
12,GCA_001280875,AF37-2AT,97.1,[95.9 - 97.9%],0.0042,97.66,know
12,GCA_001280875,AM14-42,97.4,[96.4 - 98.2%],0.0038,97.74,know
12,GCA_001280875,AM21-15LB,94.8,[93.1 - 96%],0.0069,97.15,know
12,GCA_001280875,AM38-2BH,97,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,GCA_013304325,96.9,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,GCA_013304695,96.9,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,GCA_013304725,96.9,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,GCA_013304755,96.9,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,GCA_013304795,96.9,[95.8 - 97.8%],0.0044,97.64,know
12,GCA_001280875,GCA_013694215,95.5,[94 - 96.7%],0.006,97.32,know
12,GCA_001280875,GCA_015550825,94.3,[92.6 - 95.7%],0.0074,97.04,know
12,GCA_001280875,GCF_001049915,95.2,[93.7 - 96.4%],0.0064,97.26,know
16,GF3HA19005B,12718_7_41,90.1,[87.8 - 92%],0.0121,95.82,novel
16,GF3HA19005B,AM75-01pH9A,87.3,[84.7 - 89.4%],0.0151,94.76,novel
15,IMG_2928543200,12718_7_36,87.6,[85 - 89.7%],0.0148,94.9,know
15,IMG_2928543200,12718_7_63,87.6,[85.1 - 89.8%],0.0148,94.9,know
15,IMG_2928543200,20287_6_91,87.6,[85 - 89.7%],0.0148,94.9,know
15,IMG_2928543200,20298_3_81,87.5,[85 - 89.7%],0.0148,94.88,know
15,IMG_2928543200,20427_4_28,87.6,[85 - 89.7%],0.0148,94.9,know
15,IMG_2928543200,GCA_005844445,68.8,[65.8 - 71.6%],0.0378,76.03,know
15,IMG_2928543200,GCA_013302405,88.2,[85.8 - 90.3%],0.014,95.16,know
17,GCA_000154425,12718_7_47,90,[87.6 - 91.9%],0.0122,95.78,know
17,GCA_000154425,AF22-21,82.2,[79.4 - 84.8%],0.0207,92.16,know
18,GCF_000190355,12718_7_52,99.6,[99.3 - 99.8%],0.0008,98.19,know
18,GCF_000190355,GCA_001028025,92.9,[90.9 - 94.4%],0.009,96.67,know
14,GCA_001881565,1232458.3,78.4,[75.4 - 81.1%],0.0253,89.26,know
14,GCA_001881565,AF53-12MH-2A,83,[80.2 - 85.5%],0.0199,92.62,know
14,GCA_001881565,GCA_000218405,78.4,[75.4 - 81.1%],0.0253,89.24,know
14,GCA_001881565,GCA_000471745,78.4,[75.4 - 81.1%],0.0253,89.26,know
14,GCA_001881565,GCA_000471825,78,[75 - 80.7%],0.0258,88.89,know
14,GCA_001881565,GCA_001717125,97.9,[96.9 - 98.5%],0.0033,97.83,know
14,GCA_001881565,GCA_001717135,83.3,[80.4 - 85.7%],0.0196,92.78,know
14,GCA_001881565,GCA_001722575,83.5,[80.7 - 85.9%],0.0194,92.9,know
14,GCA_001881565,GCA_001722585,83.3,[80.5 - 85.8%],0.0195,92.82,know
14,GCA_001881565,GCA_001722635,82.5,[79.7 - 85%],0.0204,92.34,know
14,GCA_001881565,GCA_001722655,82.5,[79.7 - 85%],0.0204,92.34,know
14,GCA_001881565,GCA_002180435,82.8,[79.9 - 85.3%],0.0202,92.48,know
14,GCA_001881565,GCA_900113595,84.3,[81.5 - 86.7%],0.0184,93.35,know
14,GCA_001881565,GCF_000820745,84.5,[81.8 - 86.9%],0.0181,93.49,know
14,GCA_001881565,OM02-3,83,[80.2 - 85.5%],0.0199,92.64,know
14,GCA_001881565,OM02-31,83.1,[80.3 - 85.6%],0.0198,92.67,know
14,GCA_001881565,TF09-5,83.8,[81 - 86.2%],0.019,93.08,know
19,GCA_000020605,12718_7_53,81.6,[78.7 - 84.2%],0.0215,91.74,know
19,GCA_000020605,18048_1_75,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,18048_2_75,82.8,[80 - 85.3%],0.0201,92.53,know
19,GCA_000020605,20287_6_23,81,[78.1 - 83.6%],0.0222,91.33,know
19,GCA_000020605,AF06-19,81.1,[78.2 - 83.7%],0.0221,91.4,know
19,GCA_000020605,AF12-8,81.1,[78.3 - 83.7%],0.022,91.43,know
19,GCA_000020605,AF17-27,75.2,[72.1 - 77.9%],0.0293,85.93,know
19,GCA_000020605,AF18-16LB,71.5,[68.4 - 74.3%],0.0341,80.81,know
19,GCA_000020605,AF18-18LB,71.3,[68.3 - 74.2%],0.0343,80.62,know
19,GCA_000020605,AF19-3AC,72,[68.9 - 74.8%],0.0334,81.59,know
19,GCA_000020605,AF19-4,71.9,[68.9 - 74.8%],0.0335,81.57,know
19,GCA_000020605,AF24-9LB,72.7,[69.6 - 75.5%],0.0325,82.66,know
19,GCA_000020605,AF24-17,72.7,[69.6 - 75.5%],0.0325,82.65,know
19,GCA_000020605,AF25-15,72.2,[69.1 - 75%],0.0332,81.92,know
19,GCA_000020605,AF36-2BH,79.5,[76.5 - 82.1%],0.024,90.18,know
19,GCA_000020605,AF38-24,71.8,[68.8 - 74.6%],0.0336,81.38,know
19,GCA_000020605,AF39-14AC,75.1,[72.1 - 77.9%],0.0293,85.87,know
19,GCA_000020605,AF67-03PH9,75,[72 - 77.8%],0.0295,85.73,know
19,GCA_000020605,AM16-11,71.9,[68.9 - 74.7%],0.0335,81.48,know
19,GCA_000020605,AM22-4,72.4,[69.4 - 75.2%],0.0328,82.28,know
